l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326,wkt_srid_3857,betweenness_centrality_edges,betweenness_centrality_edges_inverted
1,1,2,220000,3,2,50,Leitung 2016,TenneT,2016,43396,0.08,0.32,11.5,1.3,67129,'SRID=4326;LINESTRING(9.52257601112577 52.3604090734199,9.11321011483187 52.5438533448625)','SRID=3857;LINESTRING(1060048.31259876 6865556.22418931,1014477.90947519 6899064.84850782)',0.004273504273504273,
2,3,4,380000,3,4,50,Leitung 3011,TenneT,,72714,0.025,0.25,13.7,2.6,67131,'SRID=4326;LINESTRING(9.38974515063535 52.0263130791669,9.12526574244048 52.5382641233458)','SRID=3857;LINESTRING(1045261.64884734 6804884.59563129,1015819.93580178 6898041.83516777)',0.07968239139261646,
3,5,6,220000,3,2,50,Leitung 2024,TenneT,1,33954,0.08,0.32,11.5,1.3,67151,'SRID=4326;LINESTRING(10.366274939217 52.2846467643429,9.91814868636922 52.3799963374107)','SRID=3857;LINESTRING(1153968.44765671 6851757.78665374,1104083.2613786 6869127.46138821)',0.03279976364243094,
4,7,5,380000,3,4,50,Leitung 3026,TenneT,3026,33483,0.025,0.25,13.7,2.6,67153,'SRID=4326;LINESTRING(9.9171797569037 52.2781686248742,10.366274939217 52.2846467643429)','SRID=3857;LINESTRING(1103975.40064388 6850579.03161219,1153968.44765671 6851757.78665374)',0.015272656600279712,0.015272656600279712
5,8,9,380000,3,4,50,KKW Krümmel - UW Lüneburg,TenneT,,28174,0.025,0.25,13.7,2.6,67585,'SRID=4326;LINESTRING(10.4149924241538 53.4126068813272,10.3787706356666 53.2197927695925)','SRID=3857;LINESTRING(1159391.6532726 7059686.71558061,1155359.46222259 7023757.56958405)',0.005608591582895661,
6,10,11,220000,3,2,50,295,50Hertz,295,27550,0.08,0.32,11.5,1.3,69042,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.2061030014846 52.6571363047161)','SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1470096.66148879 6919827.53301598)',0.00413776484440296,
7,11,12,220000,3,2,50,293,50Hertz,293,45776,0.08,0.32,11.5,1.3,69043,'SRID=4326;LINESTRING(13.2061030014846 52.6571363047161,13.709669749528 52.5397952998981)','SRID=3857;LINESTRING(1470096.66148879 6919827.53301598,1526153.4554614 6898322.07842467)',0.00013573942910131346,
8,10,12,220000,3,2,50,294,50Hertz,294,68345,0.08,0.32,11.5,1.3,69045,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.709669749528 52.5397952998981)','SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1526153.4554614 6898322.07842467)',0.021311785474458646,
9,13,14,220000,3,2,50,Oba-Nfi I,TenneT TSO GmbH,263,39279,0.08,0.32,11.5,1.3,69488,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.8132329291411 48.2212664672329)','SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1315043.07429432 6143744.95020879)',0.004462541420262154,
10,13,15,380000,3,2,,Oba-Oh,transpower,461,44134,0.05,0.5,6.85,1.3,69489,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.868156362746 48.206802931481)','SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1321157.12295583 6141328.69174797)',0.020610885087634544,
11,429,119,380000,3,4,50,Kirchberg Süd,Amprion,,58478,0.025,0.25,13.7,2.6,69607,'SRID=4326;LINESTRING(6.21619298912827 50.9123618338628,6.45655251893853 50.8713380734833)','SRID=3857;LINESTRING(691983.438222475 6605806.16217717,718740.138688264 6598566.39602202)',0.004273504273504273,0.004273504273504273
12,16,5,380000,3,4,50,Leitung 3023,TenneT,2,36262,0.025,0.25,13.7,2.6,71281,'SRID=4326;LINESTRING(10.7610404155909 52.3677293936344,10.366274939217 52.2846467643429)','SRID=3857;LINESTRING(1197913.53946942 6866890.71225085,1153968.44765671 6851757.78665374)',0.06258740664522253,0.06258740664522253
13,17,12,380000,3,3,50,520,50Hertz,520,24249,0.033333,0.333333,10.275,1.95,109969,'SRID=4326;LINESTRING(13.4947634286677 52.5897644694349,13.709669749528 52.5397952998981)','SRID=3857;LINESTRING(1502230.19325498 6907473.0443696,1526153.4554614 6898322.07842467)',0.004273504273504273,0.004273504273504273
14,19,433,220000,3,2,50,Silz (AT) - Krün (DE) - Oberbrunn,,250;251,102925,0.08,0.32,11.5,1.3,110486,'SRID=4326;LINESTRING(11.2939727766244 48.0520427780619,11.277721100358 47.4958727068203)','SRID=3857;LINESTRING(1257239.29852692 6115517.27000577,1255430.17020041 6023392.07677968)',0.004273504273504273,
16,14,15,220000,6,2,50,Nfi-Oh,,286;287,5431,0.04,0.16,23,2.6,112810,'SRID=4326;LINESTRING(11.8132329291411 48.2212664672329,11.868156362746 48.206802931481)','SRID=3857;LINESTRING(1315043.07429432 6143744.95020879,1321157.12295583 6141328.69174797)',0.0022900724086424486,
17,13,19,220000,6,2,50,OBR-OBA,TenneT,269;270,30997,0.04,0.16,23,2.6,114252,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.2939727766244 48.0520427780619)','SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1257239.29852692 6115517.27000577)',0.00852870660151174,
