view_id,topo,result_id,branch_id,f_bus,t_bus,br_r,br_x,br_b,rate_a,rate_b,rate_c,tap,shift,br_status,link_type,branch_voltage,cables,frequency,geom,wkt_srid_3857,wires,length_m,betweenness_centrality_edges,betweenness_centrality_edges_inverted
14,0102000020110F00000200000086A783CA1F423141FDB3578C5B95584186A783CA1F423141FDB3578C5B955841,1,5079,6724,6725,0,0.003375,0,4000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((10.1603033126678 49.9891567500025,10.1603033126678 49.9891567500025))','SRID=3857;LINESTRING(1131039.79107139 6444398.19285297,1131039.79107139 6444398.19285297)',,0,0.0021484130207189245,
15,0102000020110F0000020000005D7A33556FCD2A41347839A6E1215A415D7A33556FCD2A41347839A6E1215A41,1,5154,7063,7064,0,0.0027,0,5000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((7.88957675021488 52.2773967700571,7.88957675021488 52.2773967700571))','SRID=3857;LINESTRING(878263.666408371 6850438.59725766,878263.666408371 6850438.59725766)',,0,0.008796371964239807,
16,0102000020110F000002000000DF6F336740EF2D41DA953B2ADBB95841766F92EABEEE2D4186A16C5F0BBA5841,1,4864,5699,5776,1.26161E-06,1.13242E-05,7.92693E-10,3580,,,0,0,1,line,380000,6,50,'SRID=4326;MULTILINESTRING((8.8115405 50.2045311,8.8115405 50.2045311,8.8109589 50.2056398,8.8109589 50.2056398))','SRID=3857;LINESTRING(980896.201564308 6481772.6598868,980831.458148463 6481965.49100531)',,130,0.0009919448300604661,
17,0102000020110F000002000000F15A6DB0E59936415F7B6A749A195A41F15A6DB0E59936415F7B6A749A195A41,1,5080,6817,6818,0,0.00675,0,2000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((13.3057533646042 52.2307818323791,13.3057533646042 52.2307818323791))','SRID=3857;LINESTRING(1481189.68916863 6841961.81899914,1481189.68916863 6841961.81899914)',,0,0.012449669821855466,
18,0102000020110F000002000000332D1101077B26419A975CC7B8945941332D1101077B26419A975CC7B8945941,1,5155,6669,6670,0,0.00225,0,6000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((6.61738116869542 51.4757909512745,6.61738116869542 51.4757909512745))','SRID=3857;LINESTRING(736643.502084172 6705891.11502638,736643.502084172 6705891.11502638)',,0,0.004780306575112159,
19,0102000020110F00000200000063F12535B24E2941501450128EDB584163F12535B24E2941501450128EDB5841,1,5081,7203,7204,0,0.00122727,0,11000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((7.44948703857361 50.4025259259141,7.44948703857361 50.4025259259141))','SRID=3857;LINESTRING(829273.103805106 6516280.28613766,829273.103805106 6516280.28613766)',,0,0.019655236870560554,
20,0102000020110F0000020000008A39F8A8637F2C41035176FD329458418A39F8A8637F2C41035176FD32945841,1,5082,6720,6721,0,0.0016875,0,8000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((8.38855642766944 49.9823051031524,8.38855642766944 49.9823051031524))','SRID=3857;LINESTRING(933809.830018805 6443211.96034646,933809.830018805 6443211.96034646)',,0,0.004926093376566044,
21,0102000020110F000002000000A2B31EF1174E314134E17DE203945841A2B31EF1174E314134E17DE203945841,1,5094,7052,7053,0,0.000613636,0,22000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((10.1878290476626 49.9812166963448,10.1878290476626 49.9812166963448))','SRID=3857;LINESTRING(1134103.94187472 6443023.53893309,1134103.94187472 6443023.53893309)',,0,0.004495766539465773,
22,0102000020110F000002000000B80DA26419CD2C41834F40331FF15A41B80DA26419CD2C41834F40331FF15A41,1,5105,7054,7055,0,0.003375,0,4000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((8.47791065 53.4284855,8.47791065 53.4284855))','SRID=3857;LINESTRING(943756.696548871 7062652.80080021,943756.696548871 7062652.80080021)',,0,0.0010864502554438224,
23,0102000020110F000002000000FA4D7FC4EA422F41B3DDE08FBD465B41FA4D7FC4EA422F41B3DDE08FBD465B41,1,5061,6839,6840,0,0.0016875,0,8000,,,1,0,1,transformer,,,,'SRID=4326;MULTILINESTRING((9.2021026729818 53.8951623557539,9.2021026729818 53.8951623557539))','SRID=3857;LINESTRING(1024373.38378376 7150326.24809973,1024373.38378376 7150326.24809973)',,0,0.003621790620009523,
