# Clustering Coefficient, Cumulative Propability
0.000000,0.810111
0.018182,0.812577
0.027778,0.815043
0.030303,0.816276
0.035714,0.817509
0.044444,0.818742
0.047619,0.826141
0.054545,0.827374
0.066667,0.839704
0.071429,0.843403
0.095238,0.849568
0.100000,0.875462
0.107143,0.876695
0.133333,0.880395
0.166667,0.901356
0.200000,0.905055
0.300000,0.906289
0.333333,0.950678
0.666667,0.955610
1.000000,1.000000
