InputID,TargetID,Distance
1,16226,11.8819728632
2,75510,378.559627816
3,16308,0.703514993262
4,16673,0.242370524738
5,16286,10.1282689389
195,76290,343.246861171
6,74814,16.0749828106
7,16252,1.26659863475
8,75445,39.6411057937
9,16740,28.1184814868
10,74824,9.13823925614
11,74847,7.68252709372
12,23439,16.5187150156
13,16100,30.7583351265
14,74863,18.0065622449
15,16523,5.07527150717
16,16282,8.64887447224
17,16104,21.5522104329
19,75457,3.28327690381
20,16111,22.6511109238
21,16212,20.5669525418
22,17040,14.5388569547
23,75200,33.8506987162
24,75600,394.759861863
25,16774,6.29735715495
26,75734,136.650329925
27,16903,27.5271700244
28,16467,4.6415474637
29,75519,163.324259478
30,16339,22.9453321424
31,16887,5.27016644851
32,75588,54.3673175874
33,24781,19.6529389381
34,16234,8.11939473073
35,16544,7.82793604034
36,16927,8.72793139853
37,16548,5.93404488476
38,75546,123.553801216
39,17320,0.167763852162
40,44433,16.3417787518
41,19360,2.22684005621
42,17180,11.4949101193
43,18194,5.43880313992
44,16138,6.78946370674
45,75537,181.823920203
46,75438,80.0540162601
47,75554,0.866920167841
48,75438,1476.39625117
49,74839,2.36603948881
50,76065,72.248235782
51,24957,51.7738847142
52,24583,20.8166787236
53,75731,263.694199891
54,75927,19.2402364035
55,24799,7.23425897706
56,29975,15.2724569394
57,75571,2.61548249631
58,75078,6.49179041883
59,16333,18.658491862
60,75568,60.6821762576
61,75471,271.231571217
62,32065,15.6324131575
63,18039,13.4317578724
64,16253,0.389362785663
66,16867,16.7961225324
67,74908,2.00802543973
68,16185,7.32941482584
69,24365,10.7556639398
70,16367,10.6764091091
71,16480,8.56649512579
72,16960,42.8460405959
73,16801,0.810648233546
74,24960,4.47836601102
75,17250,8.04300514782
76,16512,8.92935098482
77,75626,13.540493797
78,75844,2.87282987551
79,17008,12.9053923244
80,25083,9.83907608467
81,75440,8.3551912849
82,75496,11.2368936715
83,16610,2.68042075448
84,24347,221.391569679
85,16941,2.93201382129
86,55169,554.24857324
87,16862,68.03080973
88,16327,1.9597240826
89,20607,10.5818237826
90,16479,1.15355101703
91,75666,420.883562492
92,75666,540.020172693
93,29874,3.69731514155
94,17333,34.2866395187
95,22047,9.19409923022
96,75643,520.400937386
98,75567,20.2438537772
99,19099,44.8218877496
100,24552,6.52111105326
101,32751,9.04968559713
102,16979,4.88107126012
103,16529,7.20837407428
104,16424,2.19081979683
105,75462,15.0807829726
106,19520,39.2131425351
107,75820,53.9071031974
108,75044,5.25127612039
109,75603,167.66183028
110,18376,3.46324597547
111,18417,6.46208757298
112,17220,1.55140004562
113,16154,1.63605282382
114,75097,5.876765918
115,75459,174.48768773
116,17154,11.2049085208
196,17781,4.32559981554
117,75434,17.4358923577
118,16587,7.73938608346
119,16565,15.2059562454
120,24597,32.8765307841
121,75429,34.8881362696
122,16291,2.52319746419
123,16409,32.1959822057
124,56257,458.38573625
125,16113,10.9483295831
126,20629,7.28401438147
127,16473,11.8689935798
129,75476,162.687367519
130,17460,9.85787671915
131,75667,232.673130058
