# Degree, Cumulative Probability
1.000000,0.670940
2.000000,0.395299
3.000000,0.202991
4.000000,0.145299
5.000000,0.096154
6.000000,0.055556
7.000000,0.032051
8.000000,0.023504
9.000000,0.014957
10.000000,0.012821
11.000000,0.008547
12.000000,0.004274
13.000000,0.000000
