# Degree,Probability
1.000000,0.120065
2.000000,0.530557
3.000000,0.287723
4.000000,0.034613
5.000000,0.013521
6.000000,0.005949
7.000000,0.005408
8.000000,0.001082
9.000000,0.000541
10.000000,0.000541
