'id','geom','l_id','v_id_1','v_id_2','voltage','cables','wires','frequency','name','operator','ref','length_m','r_ohmkm','x_ohmkm','c_nfkm','i_th_max_a','from_relation','wkt_srid_4326','wkt_srid_3857'
15,'0102000020E610000002000000931031D50BBD244018B0CE4E63154A40BA8D168DE5C62440C60807E25F134A40',37197,16727,24507,'220000','6','','50','','','311',2320.7438437114,'','','','','','SRID=4326;LINESTRING(10.3692309019464 52.1670931348055,10.3884700861007 52.1513636144969)','SRID=3857;LINESTRING(1154297.50392255 6830394.60758185,1156439.20010588 6827540.34481732)'
16,'0102000020E6100000020000009585D4DEDDEA214012FBE258930A4940CB09236734E6214043045DFE600B4940',41948,75637,75883,'220000','6','','','','','',249.7939510557,'','','','','','SRID=4326;LINESTRING(8.95872398704777 50.082621680098,8.94961855223382 50.0888975099738)','SRID=3857;LINESTRING(997280.592395642 6460596.77455579,996266.980028704 6461685.58117272)'
17,'0102000020E610000002000000D2E8E5A885A0204038F5B936278148402F0DA0F197A120406758EEB5D0804840',42819,24583,28637,'220000','3','2','50','','','',58.2828915977,'','','','','','SRID=4326;LINESTRING(8.3135197430278 49.0090092094419,8.31561236456636 49.0063693441196)','SRID=3857;LINESTRING(925456.78449368 6276390.20663286,925689.734057778 6275942.2075527)'
18,'0102000020E610000002000000D2E8E5A885A0204038F5B936278148402F0DA0F197A120406758EEB5D0804840',49696,24583,28637,'220000','3','2','50','','','',64.0944263723,'','','','','','SRID=4326;LINESTRING(8.3135197430278 49.0090092094419,8.31561236456636 49.0063693441196)','SRID=3857;LINESTRING(925456.78449368 6276390.20663286,925689.734057778 6275942.2075527)'
19,'0102000020E6100000020000005524CC66BFB220407B7FE8A1AB814840D2E8E5A885A0204038F5B93627814840',54320,17259,24583,'220000','6','4','50','Daxlanden - Mühlburg','','',2374.6150127709,'','','','','','SRID=4326;LINESTRING(8.3491165279576 49.0130503068203,8.3135197430278 49.0090092094419)','SRID=3857;LINESTRING(929419.400465945 6277076.04820238,925456.78449368 6276390.20663286)'
20,'0102000020E6100000020000005F8FA7A0B9D6204045D2684820D14840E31CBC0942D52040DF1D2BE384D04840',81063,24365,58158,'220000','6','2','50','220 kV Anilin 3c|4d','RWE','4542',596.9574444973,'','','','','','SRID=4326;LINESTRING(8.41938497586642 49.6337976943801,8.41651945515918 49.629055400899)','SRID=3857;LINESTRING(937241.648305989 6383095.94015066,936922.660000002 6382280.89)'
21,'0102000020E61000000200000063723D08A83D1D403A52A760703B4A405641F7503A3F1D40A3EF3EC4CE3B4A40',81392,55160,55254,'220000','3','2','50','220-kV Amelsbüren','Amprion','2643',335.8621705813,'','','','','','SRID=4326;LINESTRING(7.31021130442659 52.4643669907568,7.31174589642645 52.4672475154214)','SRID=3857;LINESTRING(813769 6884528.43,813939.829999999 6885054.76)'
22,'0102000020E610000002000000826FDB922FA62840E0CD3E87D198494055AEF72170A62840856E88F6F4984940',81613,52124,71230,'220000','3','1','50','','MITNETZ','',124.1116578682,'','','','','','SRID=4326;LINESTRING(12.3245817082277 51.1938942963277,12.325074254498 51.1949756780787)','SRID=3857;LINESTRING(1371966.16 6655663.31,1372020.99 6655855.4)'
23,'0102000020E61000000200000055AEF72170A62840856E88F6F4984940DFFBBBB975A62840203393EBF6984940',81614,71230,71234,'220000','3','1','50','','MITNETZ','',6.0335411073,'','','','','','SRID=4326;LINESTRING(12.325074254498 51.1949756780787,12.325116924474 51.195035406947)','SRID=3857;LINESTRING(1372020.99 6655855.4,1372025.74 6655866.01)'
24,'0102000020E610000002000000DFFBBBB975A62840203393EBF6984940F29449247BA62840E69316D0F8984940',81615,71234,71235,'220000','3','1','50','','MITNETZ','',5.7950287765,'','','','','','SRID=4326;LINESTRING(12.325116924474 51.195035406947,12.325158246977 51.1950931654208)','SRID=3857;LINESTRING(1372025.74 6655866.01,1372030.34 6655876.27000001)'
