equal_node_id_1,equal_node_id_2,link_id_input,link_id_target,input_wkt_srid_3857,target_wkt_srid_3857
9,29,26,190915,'SRID=3857;LINESTRING(1155359.46222259 7023757.56958405,1155741.34068335 6981748.09447004)','SRID=3857;LINESTRING(1155835.71497527 6981881.39228232,1155380.92758104 7023775.73238636)'
34,35,29,190642,'SRID=3857;LINESTRING(904208.405183638 7087358.78852429,900090.508432566 7095856.64077612)','SRID=3857;LINESTRING(904214.110115499 7087353.01112667,900098.01540402 7095854.42222654)'
10,43,37,190765,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1391423.06118241 6873730.22675779)','SRID=3857;LINESTRING(1391427.94958883 6873727.84263064,1440666.37115325 6902405.88446537)'
46,12,41,76382,'SRID=3857;LINESTRING(1505510.32827441 6897564.72921428,1526153.4554614 6898322.07842467)','SRID=3857;LINESTRING(1505517.80021442 6897485.02466214,1526138.110577 6898328.19418043)'
348,347,44,171031,'SRID=3857;LINESTRING(1488191.75994948 6891617.31624932,1482276.45220217 6895065.58769051)','SRID=3857;LINESTRING(1488189.86598346 6891617.37901035,1482276.0053266 6895068.70216065)'
73,74,64,192122,'SRID=3857;LINESTRING(1464640.61728258 6769166.55481189,1547611.95307191 6777505.48102515)','SRID=3857;LINESTRING(1547616.43051108 6777505.57213282,1464639.88944779 6769166.91175317)'
79,80,74,189678,'SRID=3857;LINESTRING(1611011.82742101 6719847.69286396,1615035.32980171 6694803.16392564)','SRID=3857;LINESTRING(1615027.49970492 6694797.20598955,1611007.40265589 6719835.56972061)'
81,79,76,192090,'SRID=3857;LINESTRING(1606137.55939458 6780054.8775568,1611011.82742101 6719847.69286396)','SRID=3857;LINESTRING(1606140.50110511 6780047.05735472,1611007.40265589 6719835.56972061)'
86,92,85,153141,'SRID=3857;LINESTRING(813550.425500548 6886798.63958507,813115.275943555 6887828.74389295)','SRID=3857;LINESTRING(814095.900000001 6886700.40999999,813291.512635716 6887318.29074598)'
42,98,91,190875,'SRID=3857;LINESTRING(1356648.9481359 7135343.23805745,1359742.36722446 7189179.30213337)','SRID=3857;LINESTRING(1359760.39718063 7189170.09701,1356655.3152197 7135352.80849122)'
42,101,95,31205,'SRID=3857;LINESTRING(1356648.9481359 7135343.23805745,1302370.44223821 7089562.79900337)','SRID=3857;LINESTRING(1302373.40050697 7089571.35151501,1356655.3152197 7135352.80849122)'
119,158,170,189548,'SRID=3857;LINESTRING(718740.138688264 6598566.39602202,722254.577581136 6600283.34205643)','SRID=3857;LINESTRING(718744.408593916 6598551.80187898,722255.594738674 6600282.56626304)'
160,161,172,187942,'SRID=3857;LINESTRING(943756.695000001 7062652.8,896437.777514289 7044997.24820776)','SRID=3857;LINESTRING(896482.624850847 7044910.2057411,943460.425978322 7062690.08639161)'
37,39,205,189566,'SRID=3857;LINESTRING(1295637.82513212 6848862.97123755,1305482.58723765 6903660.18292128)','SRID=3857;LINESTRING(1305482.74961534 6903660.14075262,1295631.91864485 6848862.40001358)'
42,192,231,76714,'SRID=3857;LINESTRING(1356648.9481359 7135343.23805745,1356513.18152989 7134416.47784108)','SRID=3857;LINESTRING(1356655.3152197 7135352.80849122,1356577.47653945 7134434.41246977)'
42,192,231,189062,'SRID=3857;LINESTRING(1356648.9481359 7135343.23805745,1356513.18152989 7134416.47784108)','SRID=3857;LINESTRING(1356577.47653945 7134434.41246977,1356655.3152197 7135352.80849122)'
134,123,242,187709,'SRID=3857;LINESTRING(757483.528821606 6615326.11018264,746085.180935131 6622861.05835928)','SRID=3857;LINESTRING(746116.08859626 6622870.07488598,757470.817761841 6615314.87728703)'
4,201,246,33838,'SRID=3857;LINESTRING(1015819.93580178 6898041.83516777,1029820.42694527 7004192.91679913)','SRID=3857;LINESTRING(1015819.72976606 6898041.7075247,1029793.88293218 7004178.36811368)'
202,86,248,120367,'SRID=3857;LINESTRING(814958.041866282 6885824.02099882,813550.425500548 6886798.63958507)','SRID=3857;LINESTRING(814095.900000001 6886700.40999999,814937.732838424 6885806.99797717)'
119,163,260,75895,'SRID=3857;LINESTRING(718740.138688264 6598566.39602202,734265.570640955 6612900.6732535)','SRID=3857;LINESTRING(718744.408593916 6598551.80187898,734265.01197985 6612901.14401953)'
210,3,261,75821,'SRID=3857;LINESTRING(1047463.01592233 6806332.73304346,1045261.64884734 6804884.59563129)','SRID=3857;LINESTRING(1047465.67824503 6806335.05847941,1045262.22016303 6804885.00615745)'
69,215,266,189118,'SRID=3857;LINESTRING(937240.102055482 6383085.29621266,936006.423888152 6365038.43068912)','SRID=3857;LINESTRING(937241.648305989 6383095.94015066,936019.31103218 6365024.53321122)'
217,98,273,76733,'SRID=3857;LINESTRING(1350535.85740226 7197182.79476041,1359742.36722446 7189179.30213337)','SRID=3857;LINESTRING(1359760.39718063 7189170.09701,1350546.25919404 7197165.66787601)'
219,209,276,190884,'SRID=3857;LINESTRING(954148.172554998 6819199.2596058,995162.03 6873329.68)','SRID=3857;LINESTRING(954145.162403815 6819202.28582033,995162.03 6873329.68)'
219,220,277,541,'SRID=3857;LINESTRING(954148.172554998 6819199.2596058,963956.987900695 6800054.96229672)','SRID=3857;LINESTRING(954145.162403815 6819202.28582033,963954.391712226 6800056.13253778)'
110,198,324,190022,'SRID=3857;LINESTRING(889764.146430726 6743136.56132211,887289.473304469 6741904.41976022)','SRID=3857;LINESTRING(889766.036707103 6743133.6594386,887366.609359233 6742134.86767187)'
292,74,328,191768,'SRID=3857;LINESTRING(1296224.31788209 6783600.29168073,1547611.95307191 6777505.48102515)','SRID=3857;LINESTRING(1547616.43051108 6777505.57213282,1296224.38878137 6783600.30974387)'
258,259,333,13663,'SRID=3857;LINESTRING(1100148.74458892 6712992.64835499,1096652.12060928 6736931.5503471)','SRID=3857;LINESTRING(1100154.18993135 6712993.7306987,1096647.69327756 6736936.25082008)'
260,190,334,76417,'SRID=3857;LINESTRING(978030.012172263 6204528.2975891,987731.47443829 6158598.8986593)','SRID=3857;LINESTRING(978024.731998741 6204524.00178068,987729.837910758 6158595.15975568)'
116,267,338,189215,'SRID=3857;LINESTRING(753913.827777882 6647356.35380258,757175.546183975 6643397.04916001)','SRID=3857;LINESTRING(757121.388257759 6643229.24488189,753905.739982134 6647348.59896313)'
270,271,346,5428,'SRID=3857;LINESTRING(804198.543819651 7047989.10578839,802179.628212513 7046386.69038934)','SRID=3857;LINESTRING(804198.238574318 7047993.57607284,802175.592024735 7046377.04351263)'
34,277,350,190629,'SRID=3857;LINESTRING(904208.405183638 7087358.78852429,904154.387548222 7088355.19884041)','SRID=3857;LINESTRING(904154.353383308 7088355.07467559,904214.110115499 7087353.01112667)'
37,278,355,188080,'SRID=3857;LINESTRING(1295637.82513212 6848862.97123755,1287021.24173213 6822559.88887739)','SRID=3857;LINESTRING(1287103.51705024 6822567.34995933,1295631.91864485 6848862.40001358)'
279,280,360,190454,'SRID=3857;LINESTRING(1426422.23549038 6596194.14673887,1489713.42799112 6684508.56124475)','SRID=3857;LINESTRING(1489720.4191177 6684528.22134176,1426376.64726755 6596191.6649258)'
285,161,368,190119,'SRID=3857;LINESTRING(899642.571735954 6956892.36933184,896437.777514289 7044997.24820776)','SRID=3857;LINESTRING(896482.624850847 7044910.2057411,899709.689523059 6956832.08679582)'
270,161,370,5443,'SRID=3857;LINESTRING(804198.543819651 7047989.10578839,896437.777514289 7044997.24820776)','SRID=3857;LINESTRING(804198.238574318 7047993.57607284,896482.624850847 7044910.2057411)'
258,286,372,13670,'SRID=3857;LINESTRING(1100148.74458892 6712992.64835499,1065004.93032614 6679030.90865547)','SRID=3857;LINESTRING(1065002.90352859 6679027.42184506,1100154.18993135 6712993.7306987)'
95,287,377,77273,'SRID=3857;LINESTRING(878263.664996046 6850438.59987215,862368.99929429 6852461.09731948)','SRID=3857;LINESTRING(878272.700465719 6850436.89935798,862279.010501412 6852319.88527234)'
80,290,382,188825,'SRID=3857;LINESTRING(1615035.32980171 6694803.16392564,1582877.26097841 6642673.41052688)','SRID=3857;LINESTRING(1615027.49970492 6694797.20598955,1582882.81576865 6642665.99103273)'
4,296,397,33824,'SRID=3857;LINESTRING(1015819.93580178 6898041.83516777,1014524.42963368 6899419.80817399)','SRID=3857;LINESTRING(1015819.72976606 6898041.7075247,1014528.7880517 6899439.97350334)'
5,298,402,187916,'SRID=3857;LINESTRING(1153968.44765671 6851757.78665374,1159897.96185847 6843084.91208427)','SRID=3857;LINESTRING(1153964.42915763 6851767.08361544,1160129.8913048 6843072.27264288)'
74,280,408,188660,'SRID=3857;LINESTRING(1547611.95307191 6777505.48102515,1489713.42799112 6684508.56124475)','SRID=3857;LINESTRING(1547616.43051108 6777505.57213282,1489720.4191177 6684528.22134176)'
5,301,413,191017,'SRID=3857;LINESTRING(1153968.44765671 6851757.78665374,1139451.07676937 6853361.62975101)','SRID=3857;LINESTRING(1139454.38303332 6853363.80048268,1153964.42915763 6851767.08361544)'
5,29,415,190350,'SRID=3857;LINESTRING(1153968.44765671 6851757.78665374,1155741.34068335 6981748.09447004)','SRID=3857;LINESTRING(1155835.71497527 6981881.39228232,1153964.42915763 6851767.08361544)'
305,306,422,86934,'SRID=3857;LINESTRING(1021630.15616118 6281279.3688189,1021613.60576834 6281545.69536458)','SRID=3857;LINESTRING(1021565.69 6280835.34,1021300.6857563 6281814.08970628)'
282,1481,430,189097,'SRID=3857;LINESTRING(1393522.11387716 6649125.21812295,1373395.63956272 6656209.37893267)','SRID=3857;LINESTRING(1373395.08082269 6656208.38122601,1393515.05011124 6649129.46386874)'
282,280,431,191671,'SRID=3857;LINESTRING(1393522.11387716 6649125.21812295,1489713.42799112 6684508.56124475)','SRID=3857;LINESTRING(1393515.05011124 6649129.46386874,1489720.4191177 6684528.22134176)'
314,318,436,189061,'SRID=3857;LINESTRING(1209771.90642923 6197077.16637171,1209348.41691465 6198313.68512653)','SRID=3857;LINESTRING(1209355.42853779 6198334.99473062,1209767.64521931 6197080.49326176)'
319,233,440,189820,'SRID=3857;LINESTRING(1080268.7088709 6184561.7864464,1100450.51348339 6157591.88836078)','SRID=3857;LINESTRING(1080271.6215577 6184556.16662277,1100462.97581276 6157596.3644726)'
279,323,443,188651,'SRID=3857;LINESTRING(1426422.23549038 6596194.14673887,1388960.73177494 6577739.16583768)','SRID=3857;LINESTRING(1426376.64726755 6596191.6649258,1388963.57073834 6577736.88250403)'
324,290,444,76705,'SRID=3857;LINESTRING(1663836.45267973 6632371.99109052,1582877.26097841 6642673.41052688)','SRID=3857;LINESTRING(1582882.81576865 6642665.99103273,1663839.42644274 6632373.26002638)'
279,327,447,192085,'SRID=3857;LINESTRING(1426422.23549038 6596194.14673887,1475601.6360971 6608952.34876602)','SRID=3857;LINESTRING(1426376.64726755 6596191.6649258,1475658.17658919 6608951.18754012)'
332,337,458,190854,'SRID=3857;LINESTRING(1458667.14673555 6218502.9591149,1368882.84376721 6208423.5463894)','SRID=3857;LINESTRING(1368679.42422644 6208173.13106565,1458649.88529266 6218505.49434595)'
