v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326,wkt_srid_3857,degree,betweenness_centrality_node,clustering_coefficient
26,9.34400181356048,53.8517774981988,substation,380000;220000,,Brokdorf,TenneT,,SRID=4326;POINT(9.34400181356048 53.8517774981988),SRID=3857;POINT(1040169.52385698 7142134.55359261),2,0.008546929997886242,0.0
27,9.52961309408236,53.6189791883786,substation,220000;110000,50,Stade,,,SRID=4326;POINT(9.52961309408236 53.6189791883786),SRID=3857;POINT(1060831.67709016 7098323.23095246),5,0.035803697491624216,0.2
28,9.77654483603303,53.6906352940911,substation,220000;110000,50,Kummerfeld,TenneT,,SRID=4326;POINT(9.77654483603303 53.6906352940911),SRID=3857;POINT(1088319.9928648 7111782.67818058),2,0.0,1.0
29,10.3822011082464,52.9932426669735,substation,380000,50,Stadorf,TenneT,,SRID=4326;POINT(10.3822011082464 52.9932426669735),SRID=3857;POINT(1155741.34068335 6981748.09447004),2,0.002217606675795646,0.0
30,9.50178971212981,53.5428143880013,substation,380000;220000;110000,50,Dollern,,,SRID=4326;POINT(9.50178971212981 53.5428143880013),SRID=3857;POINT(1057734.39237905 7084041.92342586),5,0.09961060324073322,0.1
31,9.74615085631454,50.9168400022101,substation,380000;110000,50,Mecklar,EON_Netz,,SRID=4326;POINT(9.74615085631454 50.9168400022101),SRID=3857;POINT(1084936.55051936 6606596.84385321),4,0.22919369576918663,0.16666666666666666
32,11.1228546271538,50.9989090757631,substation,380000;220000;110000,50,Umspannwerk Vieselbach,50Hertz Transmission GmbH,,SRID=4326;POINT(11.1228546271538 50.9989090757631),SRID=3857;POINT(1238190.51326237 6621100.75314217),8,0.2136814489891303,0.10714285714285714
33,10.3859389733606,51.001790688155,substation,380000;110000,50,Eisenach,50Hertz,,SRID=4326;POINT(10.3859389733606 51.001790688155),SRID=3857;POINT(1156157.43792452 6621610.48085457),2,0.0,1.0
34,8.122642304058,53.5605160665145,substation,380000;220000,50,Umspannwerk Maade,TenneT,MAAD,SRID=4326;POINT(8.122642304058 53.5605160665145),SRID=3857;POINT(904208.405183638 7087358.78852429),4,0.01706628925384382,0.0
35,8.08565060815886,53.6058342194744,substation,220000;110000,50,Umspannwerk Voslapp,TenneT;EON_Netz,VOSL,SRID=4326;POINT(8.08565060815886 53.6058342194744),SRID=3857;POINT(900090.508432566 7095856.64077612),2,0.004282655246252677,0.0
36,8.06005701182283,53.6202026205826,substation,220000;155000,50,Inhausen,TenneT,INHA,SRID=4326;POINT(8.06005701182283 53.6202026205826),SRID=3857;POINT(897241.442320872 7098552.84118725),1,0.0,0.0
37,11.6389126099956,52.2687358982154,substation,380000;220000,,Umspannwerk Wolmirstedt,50Hertz Transmission GmbH,,SRID=4326;POINT(11.6389126099956 52.2687358982154),SRID=3857;POINT(1295637.82513212 6848862.97123755),9,0.20356253107898825,0.05555555555555555
38,13.2115276810432,52.5806278358522,substation,380000;110000,50,Teufelsbruch,50Hertz Transmission,,SRID=4326;POINT(13.2115276810432 52.5806278358522),SRID=3857;POINT(1470700.53405497 6905799.05312594),3,0.012381212572369717,0.3333333333333333
39,11.7273496126748,52.5689511242655,substation,380000;110000,50,Stendal/West,50Hertz Transmission GmbH,StW,SRID=4326;POINT(11.7273496126748 52.5689511242655),SRID=3857;POINT(1305482.58723765 6903660.18292128),3,0.008556120245195798,0.0
40,13.1433929675199,53.9081470154338,substation,380000;110000,50,Siedenbrünzow,50Hertz Transmission GmbH,,SRID=4326;POINT(13.1433929675199 53.9081470154338),SRID=3857;POINT(1463115.81244021 7152779.59484678),1,0.0,0.0
41,11.8531051573669,53.0865440610132,substation,380000;110000,,Umspannwerk Perleberg,50Hertz;EON_Avacon,,SRID=4326;POINT(11.8531051573669 53.0865440610132),SRID=3857;POINT(1319481.63043721 6999022.30099659),1,0.0,0.0
42,12.1869848529515,53.8157751978716,substation,380000;220000,50,Güstrow,50Hertz,,SRID=4326;POINT(12.1869848529515 53.8157751978716),SRID=3857;POINT(1356648.9481359 7135343.23805745),9,0.11005411221688263,0.05555555555555555
43,12.4993660253653,52.4052284426773,substation,220000;110000,,Brandenburg-West,50Hertz Transmission GmbH,,SRID=4326;POINT(12.4993660253653 52.4052284426773),SRID=3857;POINT(1391423.06118241 6873730.22675779),1,0.0,0.0
