edge,bet_cen_edge
'(17175, 27429)',0.01415134137698722
'(62970, 56795)',0.010763979125255492
'(52627, 78717)',4.2064779760831685e-05
'(18274, 78037)',0.001081665765278529
'(26509, 16165)',0.001081665765278529
'(62967, 57121)',0.005396622486941578
'(52977, 16286)',0.11156304470813444
'(77809, 54893)',0.010763979125255492
'(18338, 55397)',0.00914733364706323
'(74863, 52246)',0.001832334782578182
'(66033, 66063)',0.003820480943250008
'(54036, 54037)',0.009692849065482921
'(57843, 75844)',0.04306260505547231
'(53037, 53084)',0.0150367930248947
'(25084, 52033)',0.0020678411739724913
'(52383, 16339)',0.00014099310340521805
'(52543, 18376)',0.006897956557973419
'(54560, 54561)',0.0043196392574434755
'(16610, 64238)',0.0043196392574434755
'(75538, 52676)',0.008373614289939714
'(53705, 53706)',0.008620548371765246
'(61583, 55019)',0.006472435082494574
'(57592, 23427)',0.001080787789819699
'(51808, 52140)',0.040021515517364895
'(58304, 54845)',0.02537622454421109
'(53998, 54000)',0.0007719912784426519
'(33615, 54412)',0.014261680811306434
'(57899, 79113)',0.0780002770622479
'(58503, 16185)',0.0010793244973883156
'(58328, 58329)',0.002476671216530599
'(77444, 54403)',0.0010810804483059756
'(55761, 57277)',0.009314074426007509
'(75434, 52655)',0.1304734672725512
'(57808, 54000)',0.00015191762661437362
'(24583, 75903)',0.001081665765278529
'(55961, 55963)',0.008052986014046047
'(57774, 57775)',0.10058985194503804
'(57120, 57121)',0.0043196392574434755
'(74814, 52267)',0.11201056691645402
'(17468, 55892)',0.03272024415697419
'(58377, 54194)',0.00023802890217168205
'(57900, 79113)',0.07792886839159639
'(75626, 54556)',0.035542661992006154
'(18369, 77187)',0.002162160896611951
'(54781, 68211)',0.012640747306908399
'(17207, 54242)',5.853169725533165e-06
'(52450, 52452)',0.009692849065482921
'(16393, 52482)',0.0006435625148442888
'(17214, 53727)',0.002162160896611951
'(16441, 52572)',0.0032414853940002666
'(75626, 54337)',0.03629960059024896
'(78916, 62772)',0.011538474027367638
'(16544, 16234)',0.003241485394000267
'(53514, 53515)',0.007882439977974137
'(55799, 55807)',0.001123192610869338
'(55503, 19099)',0.017166176171043667
'(1045, 16096)',0.0034524317727593653
'(56024, 56026)',0.014510323402678344
'(75475, 52482)',0.0007846108981858037
'(58462, 75588)',0.06688240213292757
'(19166, 79387)',0.002162160896611951
'(16609, 52865)',0.1312089892614996
'(55579, 55581)',0.13034172510326744
'(16297, 16286)',0.00021910365339245815
'(53640, 54242)',0.0010787391804157624
'(20241, 56295)',0.0039009425164102263
'(16502, 52336)',0.04740886997152254
'(55885, 19099)',0.003239729443082607
'(62724, 54746)',0.001672328632847831
'(24583, 17259)',0.001081665765278529
'(75736, 55584)',0.0011898518523721336
'(52323, 52324)',0.0034920203365501968
'(75720, 75834)',1.0145494190924152e-05
'(52699, 52823)',0.013843673849565282
'(16445, 52583)',0.001081665765278529
'(20592, 24553)',0.001081665765278529
'(75485, 55924)',1.492558280010957e-05
'(54512, 16308)',0.0934069505143438
'(54541, 55216)',0.01822911179320049
'(75538, 53181)',0.007660932344158794
'(54357, 63504)',0.020695673749447956
'(57820, 75486)',0.0019440425267899563
'(64239, 24347)',0.001081665765278529
'(52095, 52120)',0.007147893022584853
'(16424, 55365)',0.0063694907038391825
'(52301, 56506)',0.0024361893662296383
'(51829, 51837)',0.0019683526917166723
'(76403, 52440)',0.04098129528987149
'(54894, 55552)',0.007547077044102463
'(53154, 54358)',0.003241485394000267
'(75448, 53153)',0.001081665765278529
'(54890, 55805)',0.012943236851913304
'(75746, 53999)',0.0012974428672103083
'(56198, 56201)',0.001058830041677913
'(51817, 51830)',0.00188992021739453
'(16801, 46472)',0.002020640543394157
'(52819, 52820)',0.0021586489947766313
'(52524, 56968)',0.0015156286371685356
'(16424, 52609)',0.0090439924233437
'(52602, 52603)',0.006829253328133031
'(16692, 53027)',0.08270008899442917
'(16500, 58101)',0.001081665765278529
'(52235, 55692)',0.05133287734860708
'(20460, 55943)',0.0010799098143608689
'(57592, 75844)',0.0021586489947766313
'(52465, 52469)',0.08866403661264682
'(53104, 53105)',0.10101191016703834
'(55153, 55494)',0.001051089115890729
'(55884, 19099)',0.005578995874425837
'(57772, 57773)',0.09990006146733148
'(52137, 52138)',0.007613366130606057
'(20528, 55951)',4.038687110617884e-05
'(20328, 16113)',0.001081665765278529
'(75498, 54027)',0.03105681677373947
'(18414, 47403)',0.001081665765278529
'(53183, 53190)',0.002162160896611951
'(52569, 52570)',0.08879902061294258
'(54866, 55491)',0.010283975924581934
'(52661, 52662)',0.00019701921326527062
'(52327, 52328)',0.0033337311166060277
'(52524, 56967)',0.0009156503612966567
'(24799, 54761)',0.001081665765278529
'(24932, 29689)',0.0005989841238624365
'(52214, 5919)',0.030426124603940067
'(57914, 57917)',0.039409309470697734
'(55867, 20445)',0.0005408328826392645
'(54280, 54880)',0.03219412603201183
'(52970, 52971)',0.0047408640103533085
'(52218, 32065)',0.001081665765278529
'(16393, 77225)',0.01368147742767591
'(75490, 57761)',0.0017740177015460915
'(58292, 58304)',0.006895740497880627
'(75474, 79444)',0.002162160896611951
'(52603, 52614)',0.003409651469799813
'(16273, 16358)',0.03548439810780206
'(53640, 53691)',0.002158063677804078
'(52362, 16328)',0.0066709166136374965
'(19595, 16176)',0.12320343644611764
'(79732, 55798)',0.013167466906457152
'(52453, 21175)',0.083884065986185
'(24799, 18632)',0.004540185299089767
'(53094, 79009)',0.0023969398959741615
'(53528, 53582)',0.009162728180247302
'(16523, 75452)',0.0015839090293164903
'(21556, 55200)',0.0043196392574434755
'(51871, 55692)',0.05156236062297949
'(17893, 79732)',0.01397988686436116
'(13644, 6798)',0.07926712690814126
'(53782, 56085)',0.0006129662314472647
'(29453, 56246)',0.0016242545988354533
'(16800, 53144)',0.09666593281665975
'(53395, 53396)',0.0029612948560449157
'(54483, 57142)',0.017242197893012776
'(57593, 75844)',0.003237973492164947
'(57359, 56707)',0.00376144197128513
'(52267, 52977)',0.11307882056139003
'(75668, 62443)',0.01716558937770744
'(52580, 54574)',0.01151989174028991
'(54618, 63504)',0.009220320583122896
'(75607, 53990)',0.001081665765278529
'(24926, 19597)',0.001081665765278529
'(54467, 54469)',0.009498460519571926
'(54613, 54617)',0.0007611127444241867
'(51938, 51946)',0.00039668464202961514
'(52977, 16297)',0.0008625621118860707
'(75742, 55798)',0.0033989802551959566
'(16740, 75519)',0.01706412007566356
'(52564, 52565)',0.003774845729956604
'(58366, 79537)',0.001081665765278529
'(79743, 29689)',0.0005409206801851474
'(74934, 58635)',0.001081665765278529
'(53633, 53119)',0.009903465622773357
'(17008, 75693)',0.001081665765278529
'(58310, 79485)',0.035633635521123516
'(53296, 54595)',0.05290804336401105
'(58578, 58579)',0.027496875493908467
'(57288, 16092)',0.00915055504417601
'(55794, 55797)',0.0012716457184509483
'(51816, 23439)',0.008383247864048145
'(75844, 62700)',0.06642702552828109
'(52570, 54584)',0.08715838843634711
'(52188, 16234)',0.003241485394000267
'(18476, 16176)',0.07751092108563243
'(53661, 56198)',0.0030263437790672585
'(53272, 62346)',0.0036982082276836186
'(54483, 54485)',0.03461940890102785
'(75906, 77840)',0.004260679721353418
'(53664, 56507)',0.0011779651750011312
'(57935, 16379)',0.09744274599206654
'(53372, 53373)',0.002162160896611951
'(45717, 56298)',0.001629132240273398
'(56193, 56201)',8.779754588299748e-07
'(77751, 55841)',0.0014977961701093886
'(52623, 55251)',0.009160657143113503
'(52779, 52780)',0.028568902922519783
'(51873, 51874)',0.008620548371765246
'(55798, 55801)',0.010611928408710487
'(16624, 52901)',0.001081665765278529
'(17333, 52987)',0.09481072737094282
'(17154, 55891)',0.0005411255411255411
'(53084, 7004)',0.016102069914941737
'(16727, 53339)',0.0008334913689159228
'(53833, 16185)',0.04250488164517205
'(51839, 51841)',0.0003209975830311147
'(55167, 56939)',0.09370715449208597
'(55804, 55807)',0.0004751909777792493
'(58390, 30774)',0.1464983552436485
'(58041, 52563)',0.0009622889751144405
'(24597, 55741)',0.004194869189460859
'(52544, 52551)',0.00997134116953544
'(57919, 78264)',0.02028579641272156
'(18433, 53899)',0.001081665765278529
'(66531, 75588)',0.029224742535493852
'(24597, 55742)',0.1347840452658147
'(56506, 56507)',0.00297055774808316
'(52526, 56965)',0.0010804463549190428
'(52071, 19483)',0.001081665765278529
'(74824, 18194)',0.001081665765278529
'(57435, 55531)',0.0034694710001825805
'(58625, 58626)',0.01851914793079911
'(17194, 18283)',0.004072752558420488
'(24089, 54193)',0.00025039860085830873
'(52435, 79868)',0.04952483871037579
'(24583, 28636)',0.006222036481636263
'(17190, 55089)',0.0014731257565221874
'(75476, 16346)',0.01248216966558928
'(51813, 16104)',0.001081665765278529
'(78952, 55982)',0.010051627718864357
