edge,bet_cen_edge
'(6624, 5078)',3.0445570930568877e-06
'(6654, 5313)',0.002466091245376079
'(6702, 7178)',0.002466091245376079
'(6632, 6672)',0.017627725159835798
'(6742, 6769)',0.0009599705982772161
'(6646, 6951)',0.019951732922002793
'(4174, 7087)',0.004243658115805876
'(7086, 7087)',0.004926093376566044
'(6794, 1238)',0.0015927807280235354
'(6175, 6080)',0.0033253990338834934
'(6144, 6922)',0.006139000256392124
'(6634, 6792)',0.0038030581866218363
'(5622, 5623)',0.007380006393569896
'(7035, 7039)',0.002466091245376079
'(625, 6779)',0.017146741273776227
'(6691, 6883)',0.013437782208334616
'(6933, 5074)',0.012269565085019257
'(6808, 6812)',0.0035311600003898823
'(6984, 6986)',0.0035813079716354094
'(6721, 3292)',0.010567771152474283
'(6626, 6714)',0.026609490606823473
'(6627, 6628)',0.01833468696729576
'(6781, 6800)',0.004926093376566044
'(6639, 7116)',0.08065870003406837
'(7184, 7185)',0.00886672384650054
'(6948, 3407)',0.002361328809117591
'(6980, 676)',0.0006592553448287128
'(6987, 7203)',0.004926093376566044
'(6681, 7162)',0.022799739861541258
'(7074, 7181)',0.002466091245376079
'(6981, 7066)',0.002466091245376079
'(6559, 6562)',3.0445570930568877e-06
'(294, 6764)',0.0024660912453760794
'(6935, 6936)',0.002438081320119956
'(6678, 6775)',0.004926093376566044
'(2498, 6770)',0.004298085947483484
'(6562, 6901)',0.0024630466882830217
'(6654, 7133)',0.019275977079754196
'(6778, 5224)',0.002466091245376079
'(6644, 6652)',0.004548418362233128
'(6966, 1383)',0.0023927035334912936
'(6669, 6670)',0.004780306575112159
'(4181, 6977)',0.002466091245376079
'(6673, 7149)',0.003986379404240608
'(6884, 6895)',0.005768572096833413
'(6864, 7054)',0.0014100865608628254
'(6666, 7148)',0.004926093376566044
'(6962, 7049)',0.00243686005615306
'(7023, 7106)',0.012269565085019257
'(7140, 997)',0.0008250749722184193
'(2144, 6989)',0.004217981211821364
'(6738, 6739)',0.012187658729102241
'(56, 6858)',0.002466091245376079
'(6367, 6666)',0.0024615244097364935
'(6878, 7137)',0.0070459682839455135
'(6653, 6706)',0.01885549546667992
'(6681, 6865)',0.010085639210125728
'(6837, 6843)',0.011828450605422461
'(7113, 7125)',0.004564856812028622
'(6791, 6790)',0.009000928589913363
'(6644, 6910)',0.004926093376566044
'(4188, 7201)',0.002466091245376079
'(6685, 7171)',0.08946330567754882
'(6946, 1199)',0.00443186634580771
'(7100, 7111)',0.009868645580843464
'(6672, 6668)',0.039106947404992
'(4620, 7006)',0.002466091245376079
'(7199, 6693)',0.0036763026898661917
'(6404, 6856)',4.566835639585331e-06
'(7117, 7152)',0.011675590312618007
'(6634, 6738)',0.010463413656188683
'(2187, 7073)',0.005119518456908508
'(5719, 5772)',3.0445570930568877e-06
'(6658, 6739)',0.05071583846565385
'(6830, 7078)',0.0014640461904860164
'(1883, 6793)',0.002466091245376079
'(6937, 2884)',0.002466091245376079
'(6901, 6902)',0.0024660912453760785
'(7175, 5371)',0.004926093376566044
'(6700, 6791)',0.14315755387284007
'(4453, 7079)',0.014072438144566195
'(4520, 7106)',0.002466091245376079
'(470, 6628)',0.006140871656695743
'(6722, 7075)',0.01736874951838991
'(6735, 7081)',0.04893337683207992
'(7087, 5772)',0.002463046688283022
'(6627, 6689)',0.014705210759464767
'(6982, 6824)',0.0034584705608133462
'(1731, 6669)',0.002824728640405781
'(6785, 6789)',6.0891141861137754e-06
'(6821, 6861)',0.002988919459668872
'(6654, 5370)',0.002466091245376079
'(7185, 3993)',0.002466091245376079
'(6915, 7078)',0.003971711630503194
'(6927, 6928)',0.0018977485500296836
