electrical property,items holding this property [%],items holding this property [absolute number]
voltage (links),100.00,626
cables (links),97.12,608
wires (links),80.67,505
frequency (links),70.77,443
complete information (links),62.62,392

voltage (vertices),92.41,438
frequency (vertices),71.10,337
complete information (vertices),70.46,334
