equal_node_id_1,equal_node_id_2,link_id_input,link_id_target,input_wkt_srid_3857,target_wkt_srid_3857
3,4,2,7973,'SRID=3857;LINESTRING(1045261.64884734 6804884.59563129,1015819.93580178 6898041.83516777)','SRID=3857;LINESTRING(1045261.64788967 6804884.59417542,1015819.93621198 6898041.82633777)'
5,6,3,7966,'SRID=3857;LINESTRING(1153968.44765671 6851757.78665374,1104083.2613786 6869127.46138821)','SRID=3857;LINESTRING(1153968.45176247 6851757.78280637,1104083.26252596 6869127.4494148)'
7,5,4,5373,'SRID=3857;LINESTRING(1103975.40064388 6850579.03161219,1153968.44765671 6851757.78665374)','SRID=3857;LINESTRING(1103975.40136572 6850579.03476097,1153968.45176247 6851757.78280637)'
8,9,5,5191,'SRID=3857;LINESTRING(1159391.6532726 7059686.71558061,1155359.46222259 7023757.56958405)','SRID=3857;LINESTRING(1155359.46252919 7023757.57068851,1159391.65720341 7059686.71403431)'
10,11,6,5341,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1470096.66148879 6919827.53301598)','SRID=3857;LINESTRING(1440657.51494817 6902408.13136763,1470096.66434953 6919827.53549589)'
11,12,7,5403,'SRID=3857;LINESTRING(1470096.66148879 6919827.53301598,1526153.4554614 6898322.07842467)','SRID=3857;LINESTRING(1526153.45347963 6898322.06612983,1470096.66434953 6919827.53549589)'
10,12,8,5251,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1526153.4554614 6898322.07842467)','SRID=3857;LINESTRING(1526153.45347963 6898322.06612983,1440657.51494817 6902408.13136763)'
13,14,9,8649,'SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1315043.07429432 6143744.95020879)','SRID=3857;LINESTRING(1315043.07799616 6143744.95287881,1265750.06786034 6155486.49094396)'
13,15,10,5501,'SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1321157.12295583 6141328.69174797)','SRID=3857;LINESTRING(1321157.12290721 6141328.69313918,1265750.06786034 6155486.49094396)'
16,5,12,8001,'SRID=3857;LINESTRING(1197913.53946942 6866890.71225085,1153968.44765671 6851757.78665374)','SRID=3857;LINESTRING(1197913.53985507 6866890.71239404,1153968.45176247 6851757.78280637)'
17,12,13,5166,'SRID=3857;LINESTRING(1502230.19325498 6907473.0443696,1526153.4554614 6898322.07842467)','SRID=3857;LINESTRING(1526153.45347963 6898322.06612983,1502230.19371417 6907473.04114196)'
14,15,16,5485,'SRID=3857;LINESTRING(1315043.07429432 6143744.95020879,1321157.12295583 6141328.69174797)','SRID=3857;LINESTRING(1321157.12290721 6141328.69313918,1315043.07799616 6143744.95287881)'
13,19,17,5301,'SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1257239.29852692 6115517.27000577)','SRID=3857;LINESTRING(1265750.06786034 6155486.49094396,1257239.29744481 6115517.27193091)'
20,21,18,7518,'SRID=3857;LINESTRING(1111481.68743531 7121280.83921189,1130728.36887969 7086348.79316402)','SRID=3857;LINESTRING(1130728.36926685 7086348.79228042,1111481.68963807 7121280.82623516)'
20,22,19,5375,'SRID=3857;LINESTRING(1111481.68743531 7121280.83921189,1024406.52654264 7150401.80525711)','SRID=3857;LINESTRING(1111481.68963807 7121280.82623516,1024373.38378376 7150326.24809973)'
20,22,19,7707,'SRID=3857;LINESTRING(1111481.68743531 7121280.83921189,1024406.52654264 7150401.80525711)','SRID=3857;LINESTRING(1024373.38378376 7150326.24809973,1111481.68963807 7121280.82623516)'
20,23,20,5324,'SRID=3857;LINESTRING(1111481.68743531 7121280.83921189,1111918.81420444 7126015.76118106)','SRID=3857;LINESTRING(1111918.81360262 7126015.76039675,1111481.68963807 7121280.82623516)'
25,26,22,5255,'SRID=3857;LINESTRING(1040254.03798862 7155367.04851819,1040169.52385698 7142134.55359261)','SRID=3857;LINESTRING(1040169.52397156 7142134.55333262,1040254.03918542 7155367.04738538)'
23,27,23,5457,'SRID=3857;LINESTRING(1111918.81420444 7126015.76118106,1060831.67709016 7098323.23095246)','SRID=3857;LINESTRING(1111918.81360262 7126015.76039675,1060830.79706883 7098325.39339747)'
28,23,24,5528,'SRID=3857;LINESTRING(1088319.9928648 7111782.67818058,1111918.81420444 7126015.76118106)','SRID=3857;LINESTRING(1111918.81360262 7126015.76039675,1088319.99709073 7111782.67887197)'
8,21,25,5411,'SRID=3857;LINESTRING(1159391.6532726 7059686.71558061,1130728.36887969 7086348.79316402)','SRID=3857;LINESTRING(1159391.65720341 7059686.71403431,1130728.36926685 7086348.79228042)'
8,21,25,8841,'SRID=3857;LINESTRING(1159391.6532726 7059686.71558061,1130728.36887969 7086348.79316402)','SRID=3857;LINESTRING(1130728.36926685 7086348.79228042,1159391.65720341 7059686.71403431)'
9,29,26,7939,'SRID=3857;LINESTRING(1155359.46222259 7023757.56958405,1155741.34068335 6981748.09447004)','SRID=3857;LINESTRING(1155359.46252919 7023757.57068851,1155741.34280311 6981748.09570178)'
31,32,27,5230,'SRID=3857;LINESTRING(1084936.55051936 6606596.84385321,1238190.51326237 6621100.75314217)','SRID=3857;LINESTRING(1084936.5523037 6606596.84137689,1238190.5149899 6621100.74431915)'
32,33,28,5381,'SRID=3857;LINESTRING(1238190.51326237 6621100.75314217,1156157.43792452 6621610.48085457)','SRID=3857;LINESTRING(1238190.5149899 6621100.74431915,1156157.68465593 6621614.48453281)'
34,35,29,7801,'SRID=3857;LINESTRING(904208.405183638 7087358.78852429,900090.508432566 7095856.64077612)','SRID=3857;LINESTRING(904208.408179771 7087358.78865716,900090.511356409 7095856.64107508)'
34,35,29,5274,'SRID=3857;LINESTRING(904208.405183638 7087358.78852429,900090.508432566 7095856.64077612)','SRID=3857;LINESTRING(900090.511356409 7095856.64107508,904208.408179771 7087358.78865716)'
35,36,30,5468,'SRID=3857;LINESTRING(900090.508432566 7095856.64077612,897241.442320872 7098552.84118725)','SRID=3857;LINESTRING(900090.511356409 7095856.64107508,897241.443744615 7098552.84026551)'
35,36,30,7721,'SRID=3857;LINESTRING(900090.508432566 7095856.64077612,897241.442320872 7098552.84118725)','SRID=3857;LINESTRING(897241.443744615 7098552.84026551,900090.511356409 7095856.64107508)'
37,10,32,5188,'SRID=3857;LINESTRING(1295637.82513212 6848862.97123755,1440657.5150121 6902408.13750346)','SRID=3857;LINESTRING(1440657.51494817 6902408.13136763,1295637.82630774 6848862.96109175)'
