electrical property,items holding this property [%],items holding this property [absolute number]
voltage (links),92.12,1227
cables (links),92.12,1227
wires (links),0.00,0
frequency (links),92.12,1227
complete information (links),92.12,1227

voltage (vertices),100.00,909
frequency (vertices),100.00,909
complete information (vertices),100.00,909
