InputID,TargetID,Distance,equal_node_id
1,16226,11.8819728632,1
2,75510,378.559627816,2
3,16308,0.703514993262,3
4,16673,0.242370524738,4
5,16286,10.1282689389,5
195,76290,343.246861171,195
6,74814,16.0749828106,6
7,16252,1.26659863475,7
8,75445,39.6411057937,8
9,16740,28.1184814868,9
10,74824,9.13823925614,10
11,74847,7.68252709372,11
12,23439,16.5187150156,12
13,16100,30.7583351265,13
14,74863,18.0065622449,14
15,16523,5.07527150717,15
16,16282,8.64887447224,16
17,16104,21.5522104329,17
19,75457,3.28327690381,19
20,16111,22.6511109238,20
21,16212,20.5669525418,21
22,17040,14.5388569547,22
23,75200,33.8506987162,23
24,75600,394.759861863,24
25,16774,6.29735715495,25
26,75734,136.650329925,26
27,16903,27.5271700244,27
28,16467,4.6415474637,28
29,75519,163.324259478,29
30,16339,22.9453321424,30
31,16887,5.27016644851,31
32,75588,54.3673175874,32
33,24781,19.6529389381,33
34,16234,8.11939473073,34
35,16544,7.82793604034,35
36,16927,8.72793139853,36
37,16548,5.93404488476,37
38,75546,123.553801216,38
39,17320,0.167763852162,39
40,44433,16.3417787518,40
41,19360,2.22684005621,41
42,17180,11.4949101193,42
43,18194,5.43880313992,43
44,16138,6.78946370674,44
45,75537,181.823920203,45
46,75438,80.0540162601,46
47,75554,0.866920167841,47
49,74839,2.36603948881,49
50,76065,72.248235782,50
51,24957,51.7738847142,51
52,24583,20.8166787236,52
53,75731,263.694199891,53
54,75927,19.2402364035,54
55,24799,7.23425897706,55
56,29975,15.2724569394,56
57,75571,2.61548249631,57
58,75078,6.49179041883,58
59,16333,18.658491862,59
60,75568,60.6821762576,60
61,75471,271.231571217,61
62,32065,15.6324131575,62
63,18039,13.4317578724,63
64,16253,0.389362785663,64
66,16867,16.7961225324,66
67,74908,2.00802543973,67
68,16185,7.32941482584,68
69,24365,10.7556639398,69
70,16367,10.6764091091,70
71,16480,8.56649512579,71
72,16960,42.8460405959,72
73,16801,0.810648233546,73
74,24960,4.47836601102,74
75,17250,8.04300514782,75
76,16512,8.92935098482,76
77,75626,13.540493797,77
78,75844,2.87282987551,78
79,17008,12.9053923244,79
80,25083,9.83907608467,80
81,75440,8.3551912849,81
82,75496,11.2368936715,82
83,16610,2.68042075448,83
84,24347,221.391569679,84
85,16941,2.93201382129,85
86,55169,554.24857324,86
87,16862,68.03080973,87
88,16327,1.9597240826,88
89,20607,10.5818237826,89
90,16479,1.15355101703,90
91,75666,420.883562492,91
92,75666,540.020172693,92
93,29874,3.69731514155,93
94,17333,34.2866395187,94
95,22047,9.19409923022,95
96,75643,520.400937386,96
98,75567,20.2438537772,98
99,19099,44.8218877496,99
100,24552,6.52111105326,100
101,32751,9.04968559713,101
102,16979,4.88107126012,102
103,16529,7.20837407428,103
104,16424,2.19081979683,104
105,75462,15.0807829726,105
106,19520,39.2131425351,106
107,75820,53.9071031974,107
108,75044,5.25127612039,108
109,75603,167.66183028,109
110,18376,3.46324597547,110
111,18417,6.46208757298,111
112,17220,1.55140004562,112
113,16154,1.63605282382,113
114,75097,5.876765918,114
115,75459,174.48768773,115
116,17154,11.2049085208,116
196,17781,4.32559981554,196
117,75434,17.4358923577,117
118,16587,7.73938608346,118
119,16565,15.2059562454,119
120,24597,32.8765307841,120
121,75429,34.8881362696,121
122,16291,2.52319746419,122
123,16409,32.1959822057,123
124,56257,458.38573625,124
125,16113,10.9483295831,125
126,20629,7.28401438147,126
127,16473,11.8689935798,127
129,75476,162.687367519,129
130,17460,9.85787671915,130
131,75667,232.673130058,131
132,21579,14.8897842825,132
133,16116,0.916000199431,133
