edge,bet_cen_edge
'(112, 208)',0.006224230207099584
'(10, 74)',0.013649458708660162
'(42, 98)',0.00852870660151174
'(362, 403)',0.012756326273456882
'(22, 402)',0.0024337229904681725
'(62, 201)',0.017411628695419668
'(52, 211)',0.05016866758033779
'(86, 92)',0.004273504273504274
'(85, 87)',0.002740062697236145
'(99, 100)',0.027297911448646173
'(13, 64)',0.004273504273504273
'(99, 239)',0.0031720321870214846
'(227, 230)',0.0127656069840224
'(125, 1480)',0.0027298747001780767
'(119, 163)',0.01382996290377468
'(52, 231)',0.019848263799013267
'(450, 451)',0.002136294588114716
'(3, 4)',0.07968239139261646
'(246, 385)',0.03309242408144024
'(11, 12)',0.00013573942910131346
'(330, 349)',0.00852870660151174
'(110, 478)',0.005746721092902383
'(208, 248)',0.004273504273504273
'(486, 487)',0.004273504273504273
'(13, 14)',0.004462541420262154
'(308, 385)',0.004296381705375282
'(107, 147)',0.10879533968315253
'(441, 442)',0.004273504273504273
'(20, 21)',0.03610117198556778
'(87, 103)',0.005389382569094022
'(307, 311)',0.02661241212722294
'(279, 326)',0.009718245906682738
'(23, 440)',0.018750778922085137
'(100, 239)',0.0011014720864827908
'(314, 316)',0.001434262462099721
'(76, 77)',0.003509219989347579
'(86, 87)',0.13409729296212433
'(4, 209)',0.07856779286467959
'(34, 277)',0.004273504273504273
'(30, 183)',0.047538087072146504
'(86, 90)',0.01379531276084983
'(261, 366)',0.010507146909716502
'(32, 1481)',0.016394665821511552
'(215, 224)',0.006359926060140192
'(34, 35)',0.00852870660151174
'(30, 61)',0.07886403916000963
'(279, 282)',0.001137051940049798
'(223, 224)',4.1179377367814196e-05
'(461, 462)',0.004273504273504273
'(352, 353)',0.006012993155117798
'(219, 220)',0.07402236716070944
'(378, 379)',0.00852870660151174
'(42, 177)',0.00426435330075587
'(131, 454)',0.0015826815575504876
'(6, 299)',0.009362763297452802
'(220, 400)',0.004250626841633265
'(118, 496)',0.0025553328818853443
'(255, 496)',0.004273504273504273
'(25, 26)',0.00852870660151174
'(189, 190)',0.003120306412597631
'(3, 210)',0.003951542548972955
'(165, 207)',0.007254233922685036
'(191, 195)',0.00426435330075587
'(221, 420)',0.004273504273504273
'(123, 125)',0.10577017156115831
'(27, 28)',0.0023676685388100255
'(105, 186)',0.03342573105219052
'(120, 126)',0.005321060627890333
'(2, 6)',0.037933448460269886
'(14, 266)',0.004273504273504273
'(413, 488)',0.0010157579750727501
'(112, 164)',0.004273504273504273
'(3, 490)',0.0716454489146153
'(165, 462)',0.011117840629608342
'(201, 475)',0.00454351243965805
'(165, 252)',0.004273504273504273
'(320, 379)',0.0127656069840224
'(230, 410)',0.004273504273504273
'(117, 149)',0.01329382311716359
'(51, 518)',0.0127656069840224
'(4, 296)',0.004273504273504273
'(57, 375)',0.004273504273504273
'(103, 104)',0.00219598358697271
'(207, 374)',0.004273504273504273
'(24, 272)',0.004273504273504273
'(297, 425)',0.004273504273504273
'(384, 390)',0.030122286240506602
'(94, 95)',0.00012872368332753767
'(179, 181)',0.004445734391327363
'(8, 101)',0.04144830515844444
'(125, 147)',0.11208053889982926
'(106, 460)',0.004933267620633786
'(56, 488)',0.0021736075804598283
'(234, 235)',0.00426435330075587
'(69, 70)',0.007232732768064673
'(147, 205)',0.004273504273504273
'(141, 458)',0.010708380282877928
'(421, 488)',0.0030973527226203887
'(44, 46)',0.000742109227119932
'(290, 326)',0.00557590557590558
'(314, 315)',0.026045766880665344
'(397, 504)',0.004273504273504273
'(86, 91)',0.004273504273504274
'(95, 265)',0.009587275858369501
'(15, 353)',0.0268177616426542
'(385, 389)',0.018903840835041097
'(297, 299)',0.004468823071606796
'(86, 202)',0.004273504273504274
'(336, 338)',0.015396895357502289
'(349, 350)',0.016984205421036257
'(349, 351)',0.004273504273504273
'(125, 145)',0.00852870660151174
'(31, 304)',0.2076340995503198
'(99, 212)',0.0031720321870214846
'(69, 216)',0.13723857224286426
'(104, 169)',0.004273504273504274
'(446, 447)',0.004273504273504273
'(13, 19)',0.00852870660151174
'(83, 84)',0.004273504273504273
'(70, 241)',0.00852870660151174
'(195, 197)',9.150972748403155e-06
'(329, 330)',0.004273504273504273
'(346, 347)',0.008173759779755497
'(52, 56)',0.034128853440951935
'(85, 86)',0.0015334415762681285
'(32, 78)',0.0741508683862465
'(5, 7)',0.015272656600279712
'(57, 58)',1.830194549680631e-05
'(297, 482)',0.001367765393461325
'(52, 63)',0.006567500625316468
'(402, 440)',0.0019129890650233258
'(88, 129)',0.005887594946593196
'(306, 307)',0.00852870660151174
'(59, 60)',0.0036140093152941285
'(334, 502)',0.004273504273504273
'(10, 37)',0.04856587454363782
'(438, 439)',0.004273504273504273
'(66, 338)',0.0003721395584350616
'(61, 62)',0.016279071031812746
'(221, 419)',0.004273504273504273
'(104, 138)',0.00219598358697271
'(110, 114)',0.004246051355259064
'(177, 218)',9.150972748403155e-06
'(105, 139)',0.0027640513186551726
'(167, 363)',0.004273504273504273
'(120, 130)',0.005321060627890333
'(49, 50)',0.004273504273504273
'(80, 280)',0.012499629603483985
'(134, 465)',0.0013481191788492321
'(191, 196)',0.004273504273504273
'(485, 487)',0.004273504273504273
'(13, 314)',0.025945977701647038
'(80, 290)',0.003032109456092326
'(1481, 1483)',0.004273504273504273
'(393, 491)',0.0013158771991748444
'(47, 48)',0.004273504273504273
'(61, 369)',0.0014855079094907788
'(216, 264)',0.036928446484120935
'(20, 22)',0.006615717536488416
'(123, 206)',0.004273504273504273
'(238, 256)',0.016984205421036257
'(72, 75)',0.0025569706155002367
'(140, 143)',0.004273504273504273
'(315, 487)',0.0127656069840224
'(279, 521)',0.0127656069840224
'(112, 165)',0.034457470964633634
'(184, 469)',0.03690310069658372
'(334, 336)',0.022973900793179985
'(107, 144)',0.010212812407673222
'(26, 440)',0.0127656069840224
'(144, 392)',0.004273504273504273
'(115, 123)',0.014281164510706577
'(52, 427)',0.004273504273504273
'(246, 308)',0.077133186932616
'(341, 342)',0.0034681315195233854
'(4, 201)',0.03416114991706598
'(27, 30)',0.03802170727649775
'(42, 218)',0.00426435330075587
'(2, 475)',0.003985194161853691
'(94, 265)',0.008168797854808452
'(69, 254)',0.004232324896136459
'(81, 523)',0.006567535029735954
'(119, 127)',0.004273504273504273
'(66, 336)',0.003901364715069211
'(89, 184)',0.010773637713904015
'(52, 424)',0.004273504273504273
'(120, 178)',0.004273504273504273
'(30, 369)',0.002787996364013494
'(338, 373)',0.004273504273504273
'(165, 250)',0.004273504273504273
'(42, 192)',0.004273504273504273
'(165, 470)',0.02245017395049252
'(95, 445)',0.001071096910284175
'(31, 32)',0.15852392597392317
'(233, 491)',0.00447432035585867
'(69, 215)',0.014783396475045295
'(326, 327)',3.9654215243080334e-05
'(74, 292)',0.010348198742517937
'(42, 181)',0.012388883414972972
'(37, 39)',0.0127656069840224
'(193, 200)',0.004273504273504273
'(184, 185)',0.0041874851296692835
'(260, 261)',0.010791871900008939
'(160, 161)',0.003797404118603283
'(332, 337)',0.0033161617847671577
'(14, 352)',0.0024654660529868423
'(125, 126)',0.004503573729032988
'(38, 346)',0.012364905298524142
'(95, 287)',0.004273504273504273
'(87, 113)',0.02411894689357386
'(303, 490)',0.07241840107943041
'(184, 186)',0.034325576705783484
'(265, 477)',0.01622296106588421
'(347, 348)',0.004064973015722481
'(68, 245)',0.002248340524571788
'(450, 458)',0.002173813576383169
'(459, 460)',0.004273504273504273
'(290, 324)',0.004273504273504273
'(307, 310)',0.004273504273504273
'(89, 171)',0.004273504273504273
'(45, 74)',0.004548269162830197
'(23, 412)',0.004273504273504273
'(315, 316)',0.0028392418114045518
'(117, 156)',0.004273504273504273
'(77, 111)',0.003698950157664473
'(56, 421)',0.032094253494146414
'(256, 370)',0.004273504273504273
'(123, 134)',0.004527950944358868
'(88, 89)',0.00441163019439719
'(125, 148)',0.004273504273504273
'(107, 142)',0.0035922244083996676
'(117, 134)',0.006427323142032411
'(25, 398)',0.004273504273504273
'(31, 33)',0.0028605940811508267
