# Edges Betweenness Centrality, Cumulative Propability
0.028978,0.850722
0.029263,0.852327
0.029270,0.853933
0.029320,0.855538
0.029574,0.857143
0.030122,0.858748
0.030927,0.860353
0.031386,0.861958
0.031454,0.863563
0.032094,0.865169
0.032800,0.866774
0.033092,0.868379
0.033426,0.869984
0.034129,0.871589
0.034161,0.873194
0.034326,0.874799
0.034457,0.876404
0.035103,0.879615
0.035432,0.881220
0.035981,0.882825
0.036101,0.884430
0.036439,0.886035
0.036670,0.887640
0.036877,0.889246
0.036903,0.892456
0.036928,0.894061
0.037933,0.895666
0.037961,0.897271
0.038022,0.898876
0.040409,0.900482
0.041393,0.902087
0.041448,0.905297
0.042406,0.908507
0.043609,0.910112
0.046062,0.911717
0.047538,0.913323
0.047750,0.914928
0.048501,0.916533
0.048566,0.918138
0.048852,0.919743
0.050169,0.921348
0.051595,0.922953
0.053361,0.924559
0.055238,0.926164
0.059093,0.927769
0.060121,0.929374
0.062587,0.930979
0.062679,0.932584
0.063621,0.934189
0.066686,0.935795
0.071645,0.937400
0.072418,0.939005
0.074022,0.940610
0.074151,0.942215
0.075336,0.943820
0.075684,0.945425
0.077133,0.947030
0.078568,0.948636
0.078864,0.950241
0.079682,0.951846
0.081162,0.953451
0.082805,0.955056
0.083376,0.956661
0.084405,0.958266
0.090789,0.959872
0.091481,0.961477
0.091683,0.963082
0.094076,0.964687
0.094412,0.966292
0.096640,0.967897
0.097881,0.969502
0.100625,0.971108
0.101312,0.972713
0.103516,0.974318
0.104001,0.975923
0.105770,0.977528
0.108795,0.979133
0.112081,0.980738
0.134097,0.982343
0.137239,0.983949
0.149959,0.985554
0.154605,0.987159
0.158524,0.988764
0.207634,0.990369
0.208526,0.991974
0.231577,0.993579
0.235770,0.995185
0.243298,0.996790
0.280103,0.998395
0.286550,1.000000
