l_id,v_id1,eq_no_id1,v_id2,eq_no_id2,wkt_srid_3857
1,1,1,2,2,'SRID=3857;LINESTRING(1060048.31259876 6865556.22418931,1014477.90947519 6899064.84850782)'
2,3,3,4,4,'SRID=3857;LINESTRING(1045261.64884734 6804884.59563129,1015819.93580178 6898041.83516777)'
3,5,5,6,6,'SRID=3857;LINESTRING(1153968.44765671 6851757.78665374,1104083.2613786 6869127.46138821)'
4,7,7,5,5,'SRID=3857;LINESTRING(1103975.40064388 6850579.03161219,1153968.44765671 6851757.78665374)'
5,8,8,9,9,'SRID=3857;LINESTRING(1159391.6532726 7059686.71558061,1155359.46222259 7023757.56958405)'
6,10,10,11,11,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1470096.66148879 6919827.53301598)'
7,11,11,12,12,'SRID=3857;LINESTRING(1470096.66148879 6919827.53301598,1526153.4554614 6898322.07842467)'
8,10,10,12,12,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1526153.4554614 6898322.07842467)'
9,13,13,14,14,'SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1315043.07429432 6143744.95020879)'
10,13,13,15,15,'SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1321157.12295583 6141328.69174797)'
11,429,429,119,119,'SRID=3857;LINESTRING(691983.438222475 6605806.16217717,718740.138688264 6598566.39602202)'
12,16,16,5,5,'SRID=3857;LINESTRING(1197913.53946942 6866890.71225085,1153968.44765671 6851757.78665374)'
13,17,17,12,12,'SRID=3857;LINESTRING(1502230.19325498 6907473.0443696,1526153.4554614 6898322.07842467)'
14,19,19,433,433,'SRID=3857;LINESTRING(1257239.29852692 6115517.27000577,1255430.17020041 6023392.07677968)'
16,14,14,15,15,'SRID=3857;LINESTRING(1315043.07429432 6143744.95020879,1321157.12295583 6141328.69174797)'
17,13,13,19,19,'SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1257239.29852692 6115517.27000577)'
18,20,20,21,21,'SRID=3857;LINESTRING(1111481.68743531 7121280.83921189,1130728.36887969 7086348.79316402)'
19,20,20,22,22,'SRID=3857;LINESTRING(1111481.68743531 7121280.83921189,1024406.52654264 7150401.80525711)'
20,20,20,23,23,'SRID=3857;LINESTRING(1111481.68743531 7121280.83921189,1111918.81420444 7126015.76118106)'
21,23,23,24,24,'SRID=3857;LINESTRING(1111918.81420444 7126015.76118106,1082803.87999877 7225542.27493619)'
22,25,25,26,26,'SRID=3857;LINESTRING(1040254.03798862 7155367.04851819,1040169.52385698 7142134.55359261)'
23,23,23,27,27,'SRID=3857;LINESTRING(1111918.81420444 7126015.76118106,1060831.67709016 7098323.23095246)'
24,28,28,23,23,'SRID=3857;LINESTRING(1088319.9928648 7111782.67818058,1111918.81420444 7126015.76118106)'
25,8,8,21,21,'SRID=3857;LINESTRING(1159391.6532726 7059686.71558061,1130728.36887969 7086348.79316402)'
26,9,9,29,29,'SRID=3857;LINESTRING(1155359.46222259 7023757.56958405,1155741.34068335 6981748.09447004)'
27,31,31,32,32,'SRID=3857;LINESTRING(1084936.55051936 6606596.84385321,1238190.51326237 6621100.75314217)'
28,32,32,33,33,'SRID=3857;LINESTRING(1238190.51326237 6621100.75314217,1156157.43792452 6621610.48085457)'
29,34,34,35,35,'SRID=3857;LINESTRING(904208.405183638 7087358.78852429,900090.508432566 7095856.64077612)'
30,35,35,36,36,'SRID=3857;LINESTRING(900090.508432566 7095856.64077612,897241.442320872 7098552.84118725)'
31,2,2,6,6,'SRID=3857;LINESTRING(1014477.90947519 6899064.84850782,1104083.2613786 6869127.46138821)'
32,37,37,10,10,'SRID=3857;LINESTRING(1295637.82513212 6848862.97123755,1440657.5150121 6902408.13750346)'
33,10,10,38,38,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1470700.53405497 6905799.05312594)'
34,37,37,38,38,'SRID=3857;LINESTRING(1295637.82513212 6848862.97123755,1470700.53405497 6905799.05312594)'
35,39,39,40,40,'SRID=3857;LINESTRING(1305482.58723765 6903660.18292128,1463115.81244021 7152779.59484678)'
36,39,39,41,41,'SRID=3857;LINESTRING(1305482.58723765 6903660.18292128,1319481.63043721 6999022.30099659)'
37,10,10,43,43,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1391423.06118241 6873730.22675779)'
39,44,44,45,45,'SRID=3857;LINESTRING(1503495.29432139 6886256.30871833,1481189.68590011 6841961.82416014)'
40,44,44,46,46,'SRID=3857;LINESTRING(1503495.29432139 6886256.30871833,1505510.32827441 6897564.72921428)'
41,46,46,12,12,'SRID=3857;LINESTRING(1505510.32827441 6897564.72921428,1526153.4554614 6898322.07842467)'
43,47,47,48,no equal node id,'SRID=3857;LINESTRING(1497963.30113494 6894966.46508631,1506935.11430699 6897898.50580254)'
44,348,348,347,347,'SRID=3857;LINESTRING(1488191.75994948 6891617.31624932,1482276.45220217 6895065.58769051)'
45,31,31,33,33,'SRID=3857;LINESTRING(1084936.55051936 6606596.84385321,1156157.43792452 6621610.48085457)'
46,31,31,51,51,'SRID=3857;LINESTRING(1084936.55051936 6606596.84385321,1030749.89517631 6631978.88232535)'
47,52,52,53,53,'SRID=3857;LINESTRING(925436.796678455 6276396.02224595,863115.170264068 6123400.03428663)'
48,52,52,54,54,'SRID=3857;LINESTRING(925436.796678455 6276396.02224595,939365.911880874 6317807.606619)'
49,52,52,55,55,'SRID=3857;LINESTRING(925436.796678455 6276396.02224595,947563.944201521 6324889.3764975)'
50,52,52,56,56,'SRID=3857;LINESTRING(925436.796678455 6276396.02224595,959931.31223542 6335583.9625945)'
51,57,57,52,52,'SRID=3857;LINESTRING(940153.494579454 6272501.18275884,925436.796678455 6276396.02224595)'
52,57,57,58,58,'SRID=3857;LINESTRING(940153.494579454 6272501.18275884,961976.738909436 6256226.15819957)'
53,58,58,52,52,'SRID=3857;LINESTRING(961976.738909436 6256226.15819957,925436.796678455 6276396.02224595)'
54,59,59,60,60,'SRID=3857;LINESTRING(953311.624110185 6988867.71581033,943400.074350683 7062683.76123891)'
55,61,61,62,62,'SRID=3857;LINESTRING(948317.588190205 7020568.27617918,981840.679369326 7002886.60731588)'
56,30,30,61,61,'SRID=3857;LINESTRING(1057734.39237905 7084041.92342586,948317.588190205 7020568.27617918)'
57,63,63,52,52,'SRID=3857;LINESTRING(903980.611740293 6225015.70478993,925436.796678455 6276396.02224595)'
58,13,13,64,64,'SRID=3857;LINESTRING(1265750.06686672 6155486.48990499,1273581.20911326 6135484.56809849)'
59,59,59,67,67,'SRID=3857;LINESTRING(953311.624110185 6988867.71581033,967940.86876401 7000132.9770056)'
60,61,61,67,67,'SRID=3857;LINESTRING(948317.588190205 7020568.27617918,967940.86876401 7000132.9770056)'
61,68,68,69,69,'SRID=3857;LINESTRING(976543.886907151 6441890.05723446,937240.102055482 6383085.29621266)'
62,70,70,69,69,'SRID=3857;LINESTRING(933809.830336372 6443211.95744127,937240.102055482 6383085.29621266)'
63,71,71,72,72,'SRID=3857;LINESTRING(1365018.91499349 6753433.37728126,1324067.95512275 6693374.25238603)'
64,73,73,74,74,'SRID=3857;LINESTRING(1464640.61728258 6769166.55481189,1547611.95307191 6777505.48102515)'
65,37,37,75,75,'SRID=3857;LINESTRING(1295637.82513212 6848862.97123755,1282017.0382301 6725318.37528252)'
66,72,72,75,75,'SRID=3857;LINESTRING(1324067.95512275 6693374.25238603,1282017.0382301 6725318.37528252)'
67,37,37,72,72,'SRID=3857;LINESTRING(1295637.82513212 6848862.97123755,1324067.95512275 6693374.25238603)'
68,76,76,77,77,'SRID=3857;LINESTRING(968726.528896454 6752594.28811044,1001073.07516109 6682193.87293107)'
70,10,10,45,45,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1481189.68590011 6841961.82416014)'
71,10,10,74,74,'SRID=3857;LINESTRING(1440657.5150121 6902408.13750346,1547611.95307191 6777505.48102515)'
72,45,45,74,74,'SRID=3857;LINESTRING(1481189.68590011 6841961.82416014,1547611.95307191 6777505.48102515)'
73,78,78,32,32,'SRID=3857;LINESTRING(1296468.94491574 6539427.61427731,1238190.51326237 6621100.75314217)'
74,79,79,80,80,'SRID=3857;LINESTRING(1611011.82742101 6719847.69286396,1615035.32980171 6694803.16392564)'
76,81,81,79,79,'SRID=3857;LINESTRING(1606137.55939458 6780054.8775568,1611011.82742101 6719847.69286396)'
78,34,34,82,82,'SRID=3857;LINESTRING(904208.405183638 7087358.78852429,906353.702336613 7088011.97809342)'
79,83,83,84,84,'SRID=3857;LINESTRING(1130592.19798883 7222515.52587547,1132937.88068625 7234721.59879749)'
80,83,83,24,24,'SRID=3857;LINESTRING(1130592.19798883 7222515.52587547,1082803.87999877 7225542.27493619)'
81,85,85,86,86,'SRID=3857;LINESTRING(783122.605419727 6836887.32820529,813550.425500548 6886798.63958507)'
82,87,87,86,86,'SRID=3857;LINESTRING(785953.983759508 6745433.35639174,813550.425500548 6886798.63958507)'
83,90,90,86,86,'SRID=3857;LINESTRING(839985.457988267 6794761.5124726,813550.425500548 6886798.63958507)'
84,91,91,86,86,'SRID=3857;LINESTRING(813144.486792154 6887712.65906938,813550.425500548 6886798.63958507)'
85,86,86,92,92,'SRID=3857;LINESTRING(813550.425500548 6886798.63958507,813115.275943555 6887828.74389295)'
87,86,86,93,93,'SRID=3857;LINESTRING(813550.425500548 6886798.63958507,810089.074839944 6937484.2800363)'
88,94,94,86,86,'SRID=3857;LINESTRING(924815.274647346 6862863.73785895,813550.425500548 6886798.63958507)'
89,86,86,95,95,'SRID=3857;LINESTRING(813550.425500548 6886798.63958507,878263.664996046 6850438.59987215)'
90,86,86,96,96,'SRID=3857;LINESTRING(813550.425500548 6886798.63958507,814619.33310524 6885395.36859831)'
91,42,42,98,98,'SRID=3857;LINESTRING(1356648.9481359 7135343.23805745,1359742.36722446 7189179.30213337)'
92,99,99,100,100,'SRID=3857;LINESTRING(778844.214994891 6338802.23619638,720764.739059662 6432859.70187708)'
94,42,42,181,181,'SRID=3857;LINESTRING(1356648.9481359 7135343.23805745,1562223.93610619 7077497.99914936)'
95,42,42,101,101,'SRID=3857;LINESTRING(1356648.9481359 7135343.23805745,1302370.44223821 7089562.79900337)'
96,102,102,42,42,'SRID=3857;LINESTRING(1265773.56720167 7094948.04461531,1356648.9481359 7135343.23805745)'
