branch_id,v_id1,eq_no_id1,v_id2,eq_no_id2,wkt_srid_3857
86491,55843,no equal node id,58280,no equal node id,'SRID=3857;LINESTRING(731106.129999999 6411547.15999999,731195.98 6411600.6)'
86801,52577,no equal node id,52578,457,'SRID=3857;LINESTRING(794798.010000001 6720728.77,794751.570000001 6721104.35999999)'
86985,52191,no equal node id,52190,no equal node id,'SRID=3857;LINESTRING(948638.439999999 7021416.33999999,948437.199999999 7021208.26)'
87532,54483,no equal node id,57142,no equal node id,'SRID=3857;LINESTRING(857256.889999999 6744332.75,857397.69 6743144.3)'
87563,46314,496,54036,no equal node id,'SRID=3857;LINESTRING(829246.334548216 6516279.58660728,828182.51 6516726.48)'
87585,52248,no equal node id,52249,no equal node id,'SRID=3857;LINESTRING(1315948.55 6144491.00999999,1316174.2 6145114.09)'
87871,57281,no equal node id,58170,no equal node id,'SRID=3857;LINESTRING(937606.789999999 6384178.92,937492.289999999 6384017.58999999)'
87939,53707,no equal node id,53706,no equal node id,'SRID=3857;LINESTRING(938217.86 6268402.36,937876.739999998 6268316.3)'
88346,52415,no equal node id,75520,387,'SRID=3857;LINESTRING(961053.78 6800644.11,994535.767060496 6834759.58060447)'
88677,54000,no equal node id,57808,no equal node id,'SRID=3857;LINESTRING(1018259.89 6300025.71,1017504.29 6300794.03999999)'
88807,55509,no equal node id,55510,no equal node id,'SRID=3857;LINESTRING(797983.660000001 6688600.14999999,800280.19 6688106.94000001)'
88993,54018,no equal node id,54019,no equal node id,'SRID=3857;LINESTRING(746840.270000001 6707547.55999999,746621.259999999 6707694.15999999)'
88994,54017,no equal node id,54019,no equal node id,'SRID=3857;LINESTRING(746901.42 6707576.40999999,746621.259999999 6707694.15999999)'
90294,53783,no equal node id,53784,no equal node id,'SRID=3857;LINESTRING(1398920.6 6635129.33,1398771.31000001 6635301.91999999)'
95011,60368,no equal node id,75459,115,'SRID=3857;LINESTRING(732732.290000001 6631273.15000001,732004.48754438 6630982.08276544)'
90586,25339,228,58391,no equal node id,'SRID=3857;LINESTRING(960372.374557496 6367608.41187806,953974.39 6359977.42999999)'
91207,55365,no equal node id,57033,no equal node id,'SRID=3857;LINESTRING(771034.059999999 6710518.61,771090.920000001 6710492.66999999)'
91302,16862,87,54578,no equal node id,'SRID=3857;LINESTRING(786009.439611159 6745472.76247744,786207.980000001 6743262.29)'
91343,53190,no equal node id,16835,338,'SRID=3857;LINESTRING(1344822.44 6323552.75,1344996.10736726 6325507.96150921)'
91594,54214,no equal node id,54216,no equal node id,'SRID=3857;LINESTRING(1554793.54 7015130.36,1554681.22 7015586.67999999)'
92078,16527,320,52748,no equal node id,'SRID=3857;LINESTRING(1046494.28752512 6218541.38176757,1045350.15 6221245.97999999)'
92261,55503,no equal node id,55850,no equal node id,'SRID=3857;LINESTRING(756643.059999999 6331972.44,756337.939999999 6331989.25)'
92313,54600,no equal node id,54637,no equal node id,'SRID=3857;LINESTRING(1008619.2 6259358.21,1007118.72 6256528.28)'
92379,57275,no equal node id,58137,no equal node id,'SRID=3857;LINESTRING(870325.409999999 6427579.68000001,870206.610000001 6427230.35)'
92488,26222,286,58627,no equal node id,'SRID=3857;LINESTRING(1065002.90352859 6679027.42184506,1066732.98 6680679.66)'
93079,24129,213,58667,no equal node id,'SRID=3857;LINESTRING(956085.036297957 6414380.05689435,955792.51 6414432.60999999)'
93217,53833,no equal node id,53834,no equal node id,'SRID=3857;LINESTRING(976827.769999999 6441349.16999999,977000.86 6441293.84999999)'
93328,75442,134,52524,no equal node id,'SRID=3857;LINESTRING(757470.817761841 6615314.87728703,745783.510000001 6616861.37000001)'
93409,54213,no equal node id,54214,no equal node id,'SRID=3857;LINESTRING(1554505.65 7015124.97,1554793.54 7015130.36)'
93688,53764,no equal node id,53784,no equal node id,'SRID=3857;LINESTRING(1398610.08 6635112.61,1398771.31000001 6635301.91999999)'
93709,16381,382,52458,no equal node id,'SRID=3857;LINESTRING(1131033.12512724 6444402.20775814,1131302.48 6443902.45000001)'
93858,16112,145,51933,no equal node id,'SRID=3857;LINESTRING(771980.318689603 6627218.47282909,771471.44 6627080.28)'
94093,52568,no equal node id,53242,no equal node id,'SRID=3857;LINESTRING(794578.910000001 6719838.50999999,794839.54 6719628.76000001)'
94311,54612,no equal node id,54355,no equal node id,'SRID=3857;LINESTRING(1024614.93 6262032.86999999,1025236.13 6279811.07)'
95561,58353,no equal node id,58355,no equal node id,'SRID=3857;LINESTRING(884209.689999999 6594606.92999999,883828.92 6594771.50999999)'
95919,57257,no equal node id,57258,no equal node id,'SRID=3857;LINESTRING(1037574.09 6863867.29000001,1056352.55 6865815.07)'
96112,52609,no equal node id,55501,no equal node id,'SRID=3857;LINESTRING(768410.269999999 6709664.45999999,768223.799999999 6709467.66999999)'
96131,17781,196,54021,no equal node id,'SRID=3857;LINESTRING(750893.870191131 6709979.763173,750589.519999999 6711184.37)'
96440,52670,no equal node id,75820,107,'SRID=3857;LINESTRING(792664.47 6701352.74999999,793206.621287082 6701046.95831831)'
97209,54622,no equal node id,54623,no equal node id,'SRID=3857;LINESTRING(1031844.79 6260810.58,1032219.47 6260672.88)'
97391,24552,100,58283,no equal node id,'SRID=3857;LINESTRING(720771.165801942 6432860.80726074,725735.490000001 6425091.79999999)'
97594,56193,no equal node id,56198,no equal node id,'SRID=3857;LINESTRING(732859.92 6630859.64000001,733316.319999999 6630716.83)'
97595,56193,no equal node id,75459,115,'SRID=3857;LINESTRING(732859.92 6630859.64000001,732004.48754438 6630982.08276544)'
97779,54608,no equal node id,54614,no equal node id,'SRID=3857;LINESTRING(1024789.62 6261593.63999999,1024886.6 6261608.55)'
97943,54779,no equal node id,54784,no equal node id,'SRID=3857;LINESTRING(755812.59 6711354.9,755660.300000001 6711421.62)'
97967,55984,no equal node id,55985,no equal node id,'SRID=3857;LINESTRING(1446952.66 6156129.62,1453002.65 6151873.49)'
97978,52571,no equal node id,53246,no equal node id,'SRID=3857;LINESTRING(794119.59 6719598.75,795914.049999999 6719523.24000001)'
98313,75442,134,51931,no equal node id,'SRID=3857;LINESTRING(757470.817761841 6615314.87728703,762128.34 6619114.27)'
98438,56617,no equal node id,57693,no equal node id,'SRID=3857;LINESTRING(780485.78 6340218.42000001,780554.880000001 6340528.34999999)'
98939,53092,no equal node id,53094,no equal node id,'SRID=3857;LINESTRING(1048646.6 6219801.25,1048957.62 6219971.71999999)'
99054,54213,no equal node id,54216,no equal node id,'SRID=3857;LINESTRING(1554505.65 7015124.97,1554681.22 7015586.67999999)'
99072,58170,no equal node id,58171,no equal node id,'SRID=3857;LINESTRING(937492.289999999 6384017.58999999,937634.95 6384153.68)'
99596,53165,no equal node id,55764,no equal node id,'SRID=3857;LINESTRING(1150396.03 6052410.71,1149634.94 6052296.56)'
