'id','geom','v_id','lon','lat','typ','voltage','frequency','name','operator','ref','wkt_srid_4326','wkt_srid_3857'
24,'0101000020E610000044A5A5AB48FB1A40FE3C4225D4BF4940',17781,6.7453944034,51.4986616682,'substation','220000','','','','','SRID=4326;POINT(6.74539440344353 51.4986616681508)','SRID=3857;POINT(750893.870191131 6709979.763173)'
25,'0101000020E610000035B4BDB163D1204035A8FCE959984A40',18433,8.4089637322,53.1902439579,'substation','220000','','Huntorf','EON_Netz','HUNT','SRID=4326;POINT(8.4089637321541 53.1902439578702)','SRID=3857;POINT(936081.5607625 7018265.72581532)'
26,'0101000020E61000006A0D8B0ED5A424407EBCF2706BD74740',18666,10.3219379945,47.6829663453,'substation','220000','50','Schaltwerk Kempten','','','SRID=4326;POINT(10.3219379944555 47.6829663453327)','SRID=3857;POINT(1149032.88154253 6054272.86505043)'
27,'0101000020E61000009827B3782DB41C40DFB8803EDDBC4940',20177,7.1759547099,51.4755018357,'substation','220000','','UW Stahlwerk ThyssenKrupp Nirosta','','','SRID=4326;POINT(7.17595470994447 51.4755018356825)','SRID=3857;POINT(798823.624266612 6705839.44232237)'
28,'0101000020E61000007AD8885C33B618404CE74D13FEF94840',20445,6.1779303034,49.9530662661,'substation','220000','','Vianden','SEO','','SRID=4326;POINT(6.17793030343284 49.9530662660969)','SRID=3857;POINT(687724.055534477 6438151.70900763)'
29,'0101000020E6100000BBEBA013740A20406C2EF51B39764940',20528,8.0204168447,50.9236178348,'substation','220000','50','Setzer Wiese','RWE','','SRID=4326;POINT(8.0204168447434 50.9236178347754)','SRID=3857;POINT(892828.719106628 6607793.70734579)'
30,'0101000020E610000009DEEE98104C1D409B8C07A489CF4940',23576,7.324282064,51.621387962,'substation','220000','50','Rheinzink','','','SRID=4326;POINT(7.32428206403666 51.621387962042)','SRID=3857;POINT(815335.349794868 6731954.93169118)'
31,'0101000020E610000037E3B01D8FDE1B40A90E43BDD4BE4940',24405,6.9673428191,51.4908672883,'substation','220000','50','LMG','','','SRID=4326;POINT(6.96734281913887 51.4908672883442)','SRID=3857;POINT(775601.054808711 6708586.11444056)'
32,'0101000020E6100000BA8D168DE5C62440C60807E25F134A40',24507,10.3884700861,52.1513636145,'substation','220000','','','','','SRID=4326;POINT(10.3884700861007 52.1513636144969)','SRID=3857;POINT(1156439.20010588 6827540.34481732)'
33,'0101000020E6100000BB1A253FCDF92240693301B87AD14A40',24529,9.4878940327,53.6365575796,'substation','220000','50','Götzdorf','','','SRID=4326;POINT(9.48789403274474 53.6365575795997)','SRID=3857;POINT(1056187.53242568 7101622.93215068)'
34,'0101000020E6100000D22BBF2A2DDE2640488DC4058E534940',24578,11.4339383467,50.6527716837,'substation','220000','','Stahlwerk Thüringen','','','SRID=4326;POINT(11.4339383467067 50.6527716836668)','SRID=3857;POINT(1272820.19451707 6560101.3716884)'
35,'0101000020E6100000A73A24661AD120404F49DB47A7C34840',24650,8.4084045333,49.5285425015,'substation','220000','50','BASF','','','SRID=4326;POINT(8.40840453331232 49.5285425015196)','SRID=3857;POINT(936019.31103218 6365024.53321122)'
36,'0101000020E610000031B128BEE5BB1D409C2C1F94E0374940',24821,7.4334935868,50.436541095,'substation','220000','','','','','SRID=4326;POINT(7.43349358676305 50.4365410949915)','SRID=3857;POINT(827492.720893527 6522223.13250978)'
37,'0101000020E61000004FF4FDDDAEC81C405F58457FAEB44940',24985,7.1959795653,51.4115752305,'substation','220000','','Station Welper','RWE','','SRID=4326;POINT(7.19597956526293 51.4115752304649)','SRID=3857;POINT(801052.780963871 6694422.07717965)'
38,'0101000020E61000009A5D4F548B3E2040F68A132C6DC84A40',25036,8.1221567485,53.5658316703,'substation','220000','50','Atlantic','','','SRID=4326;POINT(8.1221567484743 53.5658316703247)','SRID=3857;POINT(904154.353383308 7088355.07467559)'
39,'0101000020E6100000D6F498E5BDE22A4078F1EF359F374840',30306,13.4428550481,48.4345462247,'substation','220000','','Freiluftschaltanlage KW Schärding-Neuhaus','','','SRID=4326;POINT(13.4428550481047 48.4345462247465)','SRID=3857;POINT(1496451.7787628 6179454.73259531)'
40,'0101000020E610000016B732E4B16D1E401063E59505F34940',75640,7.6071239143,51.8986079569,'merge','220000','50','Amelsbüren','Amprion','','SRID=4326;POINT(7.60712391433278 51.8986079568914)','SRID=3857;POINT(846821.16054486 6781813.19403337)'
41,'0101000020E610000021AA90FEE9F61A40D89BB0E2BCAD4840',75751,6.7411269928,49.3573268282,'merge','220000','50','UA Dillinger Hütte Mitte','','','SRID=4326;POINT(6.74112699277842 49.3573268282268)','SRID=3857;POINT(750418.824208886 6335711.21531344)'
42,'0101000020E61000006A8274608F692A409FE85A111D544A40',74847,13.206172003,52.6571370787,'merge','220000','50','Hennigsdorf;Gewerbe Nord','50Hertz Transmission','','SRID=4326;POINT(13.2061720030044 52.6571370786562)','SRID=3857;POINT(1470104.34270284 6919827.6750486)'
43,'0101000020E6100000737ABEF344211C408087F14E13AB4840',75549,7.032489594,49.3365267448,'merge','220000','','Solarkraftwerk Göttelborn;KW Weiher;Kraftwerk Weiher','','','SRID=4326;POINT(7.03248959398353 49.3365267447798)','SRID=3857;POINT(782853.160611243 6332157.05477257)'
44,'0101000020E610000088ACDE45E47521403746AB0536AA4840',78264,8.7302572092,49.329773625,'joint','220000','50','Elsenz','Badenwerk','','SRID=4326;POINT(8.73025720923603 49.329773625021)','SRID=3857;POINT(971847.787026461 6331003.45588017)'
45,'0101000020E6100000C160FDCCE7911E40F4120C5001BD4840',79743,7.6424858122,49.4766025599,'joint','220000','50','Otterbach - Beeden','','','SRID=4326;POINT(7.64248581215378 49.4766025599437)','SRID=3857;POINT(850757.629003777 6356121.23050309)'
46,'0101000020E61000001AC55C1029AD2340BAAA0007B9DD4840',79873,9.8382039178,49.7322090867,'joint','220000','','Raitersaich - Trennfeld','TenneT TSO GmbH','211','SRID=4326;POINT(9.83820391781278 49.7322090867287)','SRID=3857;POINT(1095183.85045131 6400027.68723297)'
47,'0101000020E6100000033F85E364551A40DF0BB005EB864940',56193,6.5833926725,51.0540473089,'joint','220000','','','','','SRID=4326;POINT(6.5833926725461 51.0540473088838)','SRID=3857;POINT(732859.92 6630859.64000001)'
48,'0101000020E61000006BC8B3E0620C2340088796684BCF4A40',62346,9.5241918773,53.6194887862,'joint','220000','','','','','SRID=4326;POINT(9.52419187731376 53.6194887862203)','SRID=3857;POINT(1060228.19 7098418.87000001)'
49,'0101000020E6100000DC1AB17533752140612D46C559AA4840',78265,8.7289082316,49.3308645814,'joint','220000','50','Elsenz','Badenwerk','','SRID=4326;POINT(8.72890823161054 49.330864581362)','SRID=3857;POINT(971697.619524099 6331189.80732842)'
50,'0101000020E6100000387248532ED81B40F53F599DC2864940',55024,6.9611142171,51.0528141676,'joint','220000','50','380 kV Niehl 3;220 kV Kasselberg Süd; Niederaußem 5e','RWE','4560','SRID=4326;POINT(6.96111421708752 51.0528141675749)','SRID=3857;POINT(774907.689999999 6630641.25999999)'
51,'0101000020E61000009F251C1064F52340847D6A5770274840',78369,9.9792790446,48.3081158895,'joint','220000','','Iller Ltg.','RWE','4521','SRID=4326;POINT(9.97927904456702 48.3081158895466)','SRID=3857;POINT(1110888.26172519 6158268.27437743)'
52,'0101000020E61000002DB2894C8C7F284052A020829B4A4840',78952,12.2491172712,48.582870737,'joint','220000','','Altheim - St. Peter;Altheim - Simbach','TenneT TSO GmbH','233;234','SRID=4326;POINT(12.2491172712408 48.5828707370098)','SRID=3857;POINT(1363565.49730162 6204377.40567781)'
53,'0101000020E6100000DFAD4EBB31B02340C79F6DCADCDB4840',79872,9.8441294225,49.7176754985,'joint','220000','','Raitersaich - Trennfeld','TenneT TSO GmbH','211','SRID=4326;POINT(9.84412942252578 49.7176754985117)','SRID=3857;POINT(1095843.47461865 6397525.01515985)'
54,'0101000020E6100000E12FA5BB42682240EF3073B92B754840',78523,9.2036341323,48.9153968632,'joint','220000','','Anlage 2473','Amprion','','SRID=4326;POINT(9.20363413230365 48.915396863218)','SRID=3857;POINT(1024543.86505563 6260518.18511023)'
55,'0101000020E61000008A897F5368A72940357174F210244840',79755,12.8269678205,48.2817671841,'joint','220000','','Pirach - St. Peter;Pirach - Pleinting','','256;257','SRID=4326;POINT(12.8269678204713 48.2817671841207)','SRID=3857;POINT(1427891.52619657 6153859.52493365)'
56,'0101000020E610000008524BDFEC4B22403EF34F6E9E594840',20585,9.1482915668,48.7001474276,'substation','300000','','Umspannwerk Leinfelden','EnBW','','SRID=4326;POINT(9.14829156679572 48.7001474275953)','SRID=3857;POINT(1018383.1588441 6224134.99764099)'
57,'0101000020E6100000DC6E07BBE38F2A40AD5EE8F565434A40',16096,13.2810343215,52.5265490899,'substation','380000','50','380 kV-Kabel Terminal Berlin','','','SRID=4326;POINT(13.2810343214582 52.5265490898722)','SRID=3857;POINT(1478437.97787272 6895898.01708692)'
58,'0101000020E61000004DB606641FE12140829CDD9796334A40',16358,8.9396926172,52.4030332405,'substation','380000','50','Schaltanlage Ovenstädt','TenneT TSO GmbH','3018','SRID=4326;POINT(8.9396926172441 52.4030332405173)','SRID=3857;POINT(995162.03 6873329.68)'
59,'0101000020E6100000A376DA952CBC2540257F12F90D454840',16361,10.8675276593,48.5394889202,'substation','380000','','Station Meitingen','Net','','SRID=4326;POINT(10.8675276593379 48.5394889202419)','SRID=3857;POINT(1209767.64521931 6197080.49326176)'
60,'0101000020E6100000797CE4490FAC2540670CD9C0CAF64840',16391,10.8360541431,49.92806254,'substation','380000','','Umspannwerk Oberhaid','TenneT TSO GmbH','OD','SRID=4326;POINT(10.8360541430868 49.9280625400359)','SRID=3857;POINT(1206264.02941677 6433826.84831477)'
