# Degree, Cumulative Probability
1.000000,0.707768
2.000000,0.409371
3.000000,0.199753
4.000000,0.127004
5.000000,0.069051
6.000000,0.041924
7.000000,0.019729
8.000000,0.011097
9.000000,0.007398
10.000000,0.004932
11.000000,0.001233
12.000000,-0.000000
