# Degree,Probability
1.000000,0.292232
2.000000,0.298397
3.000000,0.209618
4.000000,0.072750
5.000000,0.057953
6.000000,0.027127
7.000000,0.022195
8.000000,0.008631
9.000000,0.003699
10.000000,0.002466
11.000000,0.003699
12.000000,0.001233
